number,site,long,lat,species,sex,date,time,wt,svl,tail,bt,at,month,note_book,time_orig,season,diel,adult,dug,total_v
20123,KLK,20.44,-25.45,Trachylepis sparsa,F,6/07/1970,16.43,15,88,NA,NA,24.4,7,8.Kalahari-RBH-FieldBook-19961-21537.pdf,1626,winter,diurnal,yes,no,0.245
20371,KLA,20.43,-27.22,Acontias kgalagadi,F,2/08/1970,NA,2,134,20,NA,NA,8,1.Kalahari-RBH-FieldBook 15002-165073,NA,winter,fossorial,yes,no,0.2415
21286,KLX,21.25,-27.22,Pedioplanis lineoocellata,M,2/10/1970,9.98,2.5,44,98,35.1,22.3,10,7.Kalahari-LC-FieldBook-18528-19938.pdf,959,spring,diurnal,no,no,0.241
15499,KLM,19.49,-26.22,Pedioplanis lineoocellata,F,14/12/1969,NA,NA,59,136,NA,NA,12,7.Kalahari-LC-FieldBook-18528-19938.pdf,NA,summer,diurnal,yes,no,0.24
16364,KLG,22.16,-28.13,Pedioplanis lineoocellata,F,26/01/1970,18.25,6,60,106,NA,31.5,1,6.Kalahari-RBH-FieldBook-18494-19947.pdf,1815,summer,diurnal,yes,no,0.24
16429,KLG,22.16,-28.13,Pedioplanis lineoocellata,M,28/01/1970,8.5,5.5,NA,143,28.8,28.3,1,7.Kalahari-LC-FieldBook-18528-19938.pdf,830,summer,diurnal,yes,no,0.24
21650,KLR,22.06,-28.14,Trachylepis sparsa,M,13/10/1970,10.37,9.7,72,105,NA,NA,10,8.Kalahari-RBH-FieldBook-19961-21537.pdf,1022,spring,diurnal,no,no,0.24
17188,KLM,19.49,-26.22,Acontias kgalagadi,J,10/02/1970,10.07,1,102,15,NA,NA,2,1.Kalahari-RBH-FieldBook 15002-165073,1004,summer,fossorial,no,no,0.2375
15015,KLI,21.5,-28.01,Pedioplanis lineoocellata,M,24/11/1969,NA,NA,NA,NA,NA,NA,11,3.Kalahari-ERP-FieldBook-16074-18527.pdf,NA,spring,diurnal,yes,no,0.235
15834,KLA,20.43,-27.22,Trachylepis occidentalis,M,2/01/1970,10.5,NA,84,114,31.4,28.5,1,8.Kalahari-RBH-FieldBook-19961-21537.pdf,1030,summer,diurnal,yes,no,0.235
17114,KLB,20.27,-27,Chondrodactylus angulifer,M,8/02/1970,21.27,8.5,70,56,24.9,25.5,2,5.Kalahari-LC-FieldBook-16426-18493.pdf,2116,summer,nocturnal,no,no,0.235
21351,KLX,21.25,-27.22,Meroles suborbitalis,F,3/10/1970,11.97,5.2,64,NA,NA,NA,10,4.Kalahari-RBH-FieldBook-16113-18503.pdf,1158,spring,diurnal,yes,no,0.235
20237,KLB,20.27,-27,Acontias gariepensis,F,9/07/1970,12.63,1.5,126,21,NA,NA,7,2.Kalahari-LC-FieldBook-15001-16385.pdf,1238,winter,fossorial,yes,no,0.231
19006,KLT,22.28,-26.08,Acontias kgalagadi,M,19/04/1970,NA,1.7,124,15,NA,NA,4,1.Kalahari-RBH-FieldBook 15002-165073,NA,autumn,fossorial,no,no,0.2305
20226,KLB,20.27,-27,Acontias kgalagadi,M,9/07/1970,11.58,2.7,141,22,NA,NA,7,1.Kalahari-RBH-FieldBook 15002-165073,1135,winter,fossorial,yes,no,0.2305
16817,KLL,20.43,-26.23,Pedioplanis namaquensis,M,4/02/1970,14.98,3,55,82,36,30,2,6.Kalahari-RBH-FieldBook-18494-19947.pdf,1459,summer,diurnal,yes,no,0.23
17352,KLT,22.28,-26.08,Trachylepis spilogaster,M,19/02/1970,17.33,11.2,74,90,35.4,32.8,2,8.Kalahari-RBH-FieldBook-19961-21537.pdf,1720,summer,diurnal,yes,no,0.23
19187,KLR,22.06,-28.14,Meroles suborbitalis,M,28/04/1970,16.6,4.5,56,NA,NA,26.5,4,3.Kalahari-ERP-FieldBook-16074-18527.pdf,1636,autumn,diurnal,yes,no,0.23
19435,KLK,20.44,-25.45,Trachylepis sparsa,F,13/05/1970,12.53,12.5,84,NA,33.8,25.5,5,8.Kalahari-RBH-FieldBook-19961-21537.pdf,1232,autumn,diurnal,yes,no,0.23
20415,KLL,20.43,-26.23,Acontias kgalagadi,F,5/08/1970,NA,2.5,138,NA,NA,NA,8,1.Kalahari-RBH-FieldBook 15002-165073,NA,winter,fossorial,yes,no,0.23
21233,KLT,22.28,-26.08,Heliobolus lugubris,F,27/09/1970,14.37,2.9,47,114,36.1,26.5,9,4.Kalahari-RBH-FieldBook-16113-18503.pdf,1422,spring,diurnal,no,no,0.23
20665,KLD,21.54,-27.17,Acontias kgalagadi,M,21/08/1970,NA,2.5,133,22,NA,NA,8,1.Kalahari-RBH-FieldBook 15002-165073,NA,winter,fossorial,yes,no,0.2285
19310,KLL,20.43,-26.23,Acontias kgalagadi,F,10/05/1970,NA,1.3,113,16,NA,NA,5,1.Kalahari-RBH-FieldBook 15002-165073,NA,autumn,fossorial,no,no,0.2275
20429,KLL,20.43,-26.23,Acontias kgalagadi,F,5/08/1970,NA,2,136,21,NA,NA,8,2.Kalahari-LC-FieldBook-15001-16385.pdf,NA,winter,fossorial,yes,no,0.227
15309,KLI,20.53,-26.48,Trachylepis sparsa,F,5/12/1969,9.65,NA,83,67,32,37.6,12,8.Kalahari-RBH-FieldBook-19961-21537.pdf,939,summer,diurnal,yes,no,0.225
15481,KLK,20.44,-25.45,Ptenopus garrulus,F,12/12/1969,21.83,NA,51,33,NA,22.4,12,7.Kalahari-LC-FieldBook-18528-19938.pdf,2150,summer,nocturnal,no,no,0.225
15498,KLM,19.49,-26.22,Pedioplanis lineoocellata,M,14/12/1969,NA,NA,60,120,NA,NA,12,7.Kalahari-LC-FieldBook-18528-19938.pdf,NA,summer,diurnal,yes,no,0.225
15726,KLB,20.27,-27,Chondrodactylus bibronii,M,28/12/1969,18.53,NA,76,58,NA,35,12,3.Kalahari-ERP-FieldBook-16074-18527.pdf,1832,summer,nocturnal,no,yes,0.225
15836,KLA,20.43,-27.22,Meroles suborbitalis,M,2/01/1970,10.92,NA,66,139,36.6,24.6,1,4.Kalahari-RBH-FieldBook-16113-18503.pdf,1055,summer,diurnal,yes,no,0.225
15954,KLI,22,-27.4,Trachylepis sparsa,F,5/01/1970,17.83,NA,93,102,NA,35.1,1,8.Kalahari-RBH-FieldBook-19961-21537.pdf,1750,summer,diurnal,yes,no,0.225
15979,KLT,22.28,-26.08,Trachylepis spilogaster,M,7/01/1970,17.33,NA,67,95,38.7,35.2,1,8.Kalahari-RBH-FieldBook-19961-21537.pdf,1720,summer,diurnal,yes,no,0.225
15988,KLT,22.28,-26.08,Chondrodactylus angulifer,F,7/01/1970,21.05,NA,97,NA,27.8,28.3,1,5.Kalahari-LC-FieldBook-16426-18493.pdf,2103,summer,nocturnal,no,no,0.225
16101,KLD,21.54,-27.17,Ptenopus garrulus,F,21/01/1970,21.68,3.5,52,23,30.4,28.7,1,7.Kalahari-LC-FieldBook-18528-19938.pdf,2141,summer,nocturnal,no,no,0.225
16146,KLT,22.28,-26.08,Ptenopus garrulus,F,22/01/1970,21.17,3.5,53,NA,30.7,29.6,1,6.Kalahari-RBH-FieldBook-18494-19947.pdf,2110,summer,nocturnal,no,no,0.225
16149,KLT,22.28,-26.08,Ptenopus garrulus,F,22/01/1970,21.43,3.5,55,38,NA,28.4,1,6.Kalahari-RBH-FieldBook-18494-19947.pdf,2126,summer,nocturnal,no,no,0.225
16158,KLT,22.28,-26.08,Pachydactylus wahlbergii,M,22/01/1970,22,1.5,47,48,28.4,28.4,1,1.Kalahari-RBH-FieldBook 15002-165073,2200,summer,nocturnal,no,no,0.225
16222,KLT,22.28,-26.08,Trachylepis spilogaster,F,24/01/1970,8.8,8.2,67,86,NA,28.3,1,8.Kalahari-RBH-FieldBook-19961-21537.pdf,848,summer,diurnal,yes,no,0.225
16242,KLT,22.28,-26.08,Ptenopus garrulus,F,24/01/1970,21.92,1.7,49,33,27.8,26.6,1,8.Kalahari-RBH-FieldBook-19961-21537.pdf,2155,summer,nocturnal,no,no,0.225
16467,KLA,20.43,-27.22,Pedioplanis lineoocellata,F,29/01/1970,11.28,4.5,62,120,38.2,35.4,1,7.Kalahari-LC-FieldBook-18528-19938.pdf,1117,summer,diurnal,yes,no,0.225
16737,KLL,20.43,-26.23,Trachylepis occidentalis,F,3/02/1970,15.92,10,77,143,33.6,30.4,2,8.Kalahari-RBH-FieldBook-19961-21537.pdf,1555,summer,diurnal,no,no,0.225
16799,KLL,20.43,-26.23,Trachylepis occidentalis,F,4/02/1970,12.03,10.5,78,102,NA,NA,2,8.Kalahari-RBH-FieldBook-19961-21537.pdf,1202,summer,diurnal,no,no,0.225
16971,KLK,20.44,-25.45,Trachylepis occidentalis,F,6/02/1970,9.92,8.2,73,85,35.9,26.6,2,8.Kalahari-RBH-FieldBook-19961-21537.pdf,955,summer,diurnal,no,no,0.225
17007,KLK,20.44,-25.45,Trachylepis occidentalis,M,6/02/1970,15,5.2,63,42,35.2,31.3,2,8.Kalahari-RBH-FieldBook-19961-21537.pdf,1500,summer,diurnal,no,no,0.225
17099,KLB,20.27,-27,Trachylepis sparsa,F,8/02/1970,18.47,3.2,53,83,36.3,31.9,2,8.Kalahari-RBH-FieldBook-19961-21537.pdf,1828,summer,diurnal,no,no,0.225
17508,KLT,22.28,-26.08,Trachylepis spilogaster,M,21/02/1970,8.72,10.7,72,NA,35.3,28.4,2,8.Kalahari-RBH-FieldBook-19961-21537.pdf,843,summer,diurnal,yes,no,0.225
18688,KLB,20.27,-27,Acontias gariepensis,M,6/04/1970,11,1.5,111,21,NA,NA,4,1.Kalahari-RBH-FieldBook 15002-165073,1100,autumn,fossorial,no,no,0.225
18877,KLT,22.28,-26.08,Trachylepis spilogaster,M,16/04/1970,16.85,10.5,75,NA,NA,27.7,4,8.Kalahari-RBH-FieldBook-19961-21537.pdf,1651,autumn,diurnal,yes,yes,0.225
18951,KLT,22.28,-26.08,Trachylepis spilogaster,F,17/04/1970,17.03,7.5,70,NA,31.3,27.6,4,8.Kalahari-RBH-FieldBook-19961-21537.pdf,1702,autumn,diurnal,yes,no,0.225
19184,KLR,22.06,-28.14,Meroles suborbitalis,M,28/04/1970,14.53,4.5,56,NA,NA,28,4,3.Kalahari-ERP-FieldBook-16074-18527.pdf,1432,autumn,diurnal,yes,no,0.225
19496,KLB,20.27,-27,Trachylepis sparsa,M,14/05/1970,16.25,3,51,91,NA,NA,5,8.Kalahari-RBH-FieldBook-19961-21537.pdf,1615,autumn,diurnal,no,yes,0.225
19814,KLI,22.25,-26.05,Chondrodactylus bibronii,M,23/05/1970,NA,11.3,78,NA,NA,NA,5,3.Kalahari-ERP-FieldBook-16074-18527.pdf,NA,autumn,nocturnal,no,no,0.225
19852,KLR,22.06,-28.14,Meroles suborbitalis,F,26/05/1970,13.17,5,58,121,35.9,21,5,4.Kalahari-RBH-FieldBook-16113-18503.pdf,1310,autumn,diurnal,yes,no,0.225
19861,KLR,22.06,-28.14,Meroles suborbitalis,M,26/05/1970,13.97,4.7,58,133,34.9,18.8,5,4.Kalahari-RBH-FieldBook-16113-18503.pdf,1358,autumn,diurnal,yes,no,0.225
20607,KLT,22.28,-26.08,Pedioplanis lineoocellata,M,18/08/1970,12.88,2.5,45,102,NA,26.3,8,7.Kalahari-LC-FieldBook-18528-19938.pdf,1253,winter,diurnal,no,no,0.225
20628,KLT,22.28,-26.08,Trachylepis spilogaster,F,18/08/1970,16.33,3.2,52,85,35.6,25.7,8,8.Kalahari-RBH-FieldBook-19961-21537.pdf,1620,winter,diurnal,no,no,0.225
21061,KLX,21.25,-27.22,Trachylepis sparsa,F,23/09/1970,16.6,6.4,71,NA,NA,NA,9,8.Kalahari-RBH-FieldBook-19961-21537.pdf,1636,spring,diurnal,no,no,0.225
21262,KLD,21.54,-27.17,Meroles suborbitalis,M,28/09/1970,14.72,4.9,58,135,37.4,28.8,9,3.Kalahari-ERP-FieldBook-16074-18527.pdf,1443,spring,diurnal,yes,no,0.225
21328,KLX,21.25,-27.22,Trachylepis sparsa,M,2/10/1970,16.87,10.4,80,NA,33.3,28,10,8.Kalahari-RBH-FieldBook-19961-21537.pdf,1652,spring,diurnal,yes,no,0.225
19299,KLL,20.43,-26.23,Acontias kgalagadi,F,11/05/1970,11.58,3,152,22,NA,NA,5,1.Kalahari-RBH-FieldBook 15002-165073,1135,autumn,fossorial,yes,no,0.224
20740,KLI,19.5,-26.33,Acontias gariepensis,M,2/09/1970,NA,1.6,120,23,NA,NA,9,2.Kalahari-LC-FieldBook-15001-16385.pdf,NA,spring,fossorial,yes,no,0.2235
20419,KLL,20.43,-26.23,Acontias kgalagadi,F,5/08/1970,NA,1.7,129,19,NA,NA,8,1.Kalahari-RBH-FieldBook 15002-165073,NA,winter,fossorial,yes,no,0.2205
16090,KLD,21.54,-27.17,Heliobolus lugubris,F,22/01/1970,9.85,5.2,58,120,NA,32.5,1,2.Kalahari-LC-FieldBook-15001-16385.pdf,951,summer,diurnal,yes,no,0.22
20053,KLL,20.43,-26.23,Meroles suborbitalis,M,4/07/1970,14.62,5.3,61,136,35.6,22.2,7,4.Kalahari-RBH-FieldBook-16113-18503.pdf,1437,winter,diurnal,yes,no,0.22
20560,KLX,21.25,-27.22,Meroles suborbitalis,F,15/08/1970,14.52,4.5,58,130,35.7,22.1,8,5.Kalahari-LC-FieldBook-16426-18493.pdf,1431,winter,diurnal,yes,no,0.22
20988,KLA,20.43,-27.22,Acontias gariepensis,M,21/09/1970,NA,1.5,115,20,NA,NA,9,2.Kalahari-LC-FieldBook-15001-16385.pdf,NA,spring,fossorial,no,no,0.22
21652,KLR,22.06,-28.14,Meroles suborbitalis,M,13/10/1970,10.83,4.6,57,NA,NA,NA,10,5.Kalahari-LC-FieldBook-16426-18493.pdf,1050,spring,diurnal,yes,no,0.22
21043,KLX,21.25,-27.22,Acontias kgalagadi,F,23/09/1970,NA,2.7,138,20,NA,NA,9,1.Kalahari-RBH-FieldBook 15002-165073,NA,spring,fossorial,yes,no,0.2195
17156,KLB,20.27,-27,Meroles suborbitalis,F,9/02/1970,10.77,6.7,70,138,38.8,30.3,2,5.Kalahari-LC-FieldBook-16426-18493.pdf,1046,summer,diurnal,yes,no,0.215
21183,KLT,22.28,-26.08,Trachylepis spilogaster,M,26/09/1970,13.52,3.5,52,NA,34.8,30.8,9,8.Kalahari-RBH-FieldBook-19961-21537.pdf,1331,spring,diurnal,no,no,0.215
21368,KLX,21.25,-27.22,Trachylepis sparsa,M,3/10/1970,NA,11.7,80,NA,NA,NA,10,8.Kalahari-RBH-FieldBook-19961-21537.pdf,NA,spring,diurnal,yes,yes,0.215
19415,KLK,20.44,-25.45,Acontias kgalagadi,J,13/05/1970,10.58,0.5,82,14,NA,NA,5,2.Kalahari-LC-FieldBook-15001-16385.pdf,1035,autumn,fossorial,no,no,0.2115
15177,KLK,20.44,-25.45,Trachylepis occidentalis,F,29/11/1969,NA,NA,99,130,NA,NA,11,8.Kalahari-RBH-FieldBook-19961-21537.pdf,NA,spring,diurnal,yes,no,0.21
15209,KLI,21.38,-26.51,Trachylepis spilogaster,F,3/12/1969,17.88,NA,62,90,35.3,33.5,12,8.Kalahari-RBH-FieldBook-19961-21537.pdf,1753,summer,diurnal,yes,no,0.21
15875,KLG,22.16,-28.13,Chondrodactylus angulifer,F,3/01/1970,21.57,NA,79,53,NA,25.4,1,3.Kalahari-ERP-FieldBook-16074-18527.pdf,2134,summer,nocturnal,no,no,0.21
16702,KLL,20.43,-26.23,Trachylepis occidentalis,F,3/02/1970,17.38,10.7,79,74,36.4,28.5,2,8.Kalahari-RBH-FieldBook-19961-21537.pdf,1723,summer,diurnal,no,no,0.21
16969,KLK,20.44,-25.45,Trachylepis occidentalis,M,6/02/1970,9.82,6,63,89,36.7,25.3,2,8.Kalahari-RBH-FieldBook-19961-21537.pdf,949,summer,diurnal,no,no,0.21
17134,KLB,20.27,-27,Chondrodactylus bibronii,M,8/02/1970,21.17,5.7,61,63,26.3,26.2,2,3.Kalahari-ERP-FieldBook-16074-18527.pdf,2110,summer,nocturnal,no,no,0.21
17807,KLD,21.54,-27.17,Meroles suborbitalis,F,24/02/1970,11.57,2.7,47,NA,39,31.9,2,4.Kalahari-RBH-FieldBook-16113-18503.pdf,1134,summer,diurnal,no,no,0.21
18472,KLK,20.44,-25.45,Trachylepis spilogaster,F,13/03/1970,10.6,9.5,80,107,36.1,30,3,8.Kalahari-RBH-FieldBook-19961-21537.pdf,1036,autumn,diurnal,yes,no,0.21
18514,KLA,20.43,-27.22,Meroles suborbitalis,M,2/04/1970,10.92,3.7,57,127,35.1,32.1,4,4.Kalahari-RBH-FieldBook-16113-18503.pdf,1055,autumn,diurnal,yes,no,0.21
19970,KLA,20.43,-27.22,Meroles suborbitalis,M,2/07/1970,12.55,5.2,60,146,NA,21.2,7,3.Kalahari-ERP-FieldBook-16074-18527.pdf,1233,winter,diurnal,yes,no,0.21
20716,KLR,22.06,-28.14,Meroles suborbitalis,M,28/08/1970,16.03,4.8,58,NA,NA,14.1,8,3.Kalahari-ERP-FieldBook-16074-18527.pdf,1602,winter,diurnal,yes,no,0.21
20973,KLA,20.43,-27.22,Pedioplanis lineoocellata,M,20/09/1970,14.5,2.3,43,86,NA,NA,9,6.Kalahari-RBH-FieldBook-18494-19947.pdf,1430,spring,diurnal,no,no,0.21
21385,KLX,21.25,-27.22,Meroles suborbitalis,M,4/10/1970,10.82,4.6,58,NA,37.7,29.7,10,4.Kalahari-RBH-FieldBook-16113-18503.pdf,1049,spring,diurnal,yes,no,0.21
17178,KLB,20.27,-27,Acontias kgalagadi,F,9/02/1970,10.17,2.7,135,20,NA,NA,2,2.Kalahari-LC-FieldBook-15001-16385.pdf,1010,summer,fossorial,yes,no,0.2065
15126,KLL,20.43,-26.23,Acontias kgalagadi,F,28/11/1969,20.92,NA,133,20,NA,NA,11,1.Kalahari-RBH-FieldBook 15002-165073,2055,spring,fossorial,yes,no,0.2055
15447,KLK,20.44,-25.45,Trachylepis sparsa,F,12/12/1969,15.25,NA,81,108,37.4,34.8,12,8.Kalahari-RBH-FieldBook-19961-21537.pdf,1515,summer,diurnal,yes,no,0.205
16076,KLD,21.54,-27.17,Pedioplanis lineoocellata,F,21/01/1970,17.77,4.5,61,118,41.1,36.2,1,7.Kalahari-LC-FieldBook-18528-19938.pdf,1746,summer,diurnal,yes,no,0.205
16305,KLT,22.28,-26.08,Acontias kgalagadi,M,25/01/1970,10.58,1.7,139,21,NA,NA,1,1.Kalahari-RBH-FieldBook 15002-165073,1035,summer,fossorial,yes,no,0.205
19027,KLD,21.54,-27.17,Meroles suborbitalis,M,21/04/1970,11.13,3.7,54,120,35.8,21.2,4,3.Kalahari-ERP-FieldBook-16074-18527.pdf,1108,autumn,diurnal,yes,no,0.205
19159,KLR,22.06,-28.14,Meroles suborbitalis,F,28/04/1970,12.68,4,55,111,36.1,26.2,4,3.Kalahari-ERP-FieldBook-16074-18527.pdf,1241,autumn,diurnal,yes,no,0.205
19281,KLL,20.43,-26.23,Meroles suborbitalis,M,10/05/1970,14.02,3.7,54,NA,34.7,17.4,5,5.Kalahari-LC-FieldBook-16426-18493.pdf,1401,autumn,diurnal,yes,no,0.205
19860,KLR,22.06,-28.14,Meroles suborbitalis,M,26/05/1970,14.25,3.7,55,116,NA,19.4,5,4.Kalahari-RBH-FieldBook-16113-18503.pdf,1415,autumn,diurnal,yes,no,0.205
20600,KLT,22.28,-26.08,Trachylepis spilogaster,M,18/08/1970,11.25,3.7,51,NA,34.8,23.6,8,8.Kalahari-RBH-FieldBook-19961-21537.pdf,1115,winter,diurnal,no,no,0.205
18685,KLB,20.27,-27,Acontias kgalagadi,M,6/04/1970,10.58,3,136,NA,NA,NA,4,2.Kalahari-LC-FieldBook-15001-16385.pdf,1035,autumn,fossorial,yes,no,0.204
19297,KLL,20.43,-26.23,Acontias kgalagadi,M,11/05/1970,11.58,1.5,116,13,NA,NA,5,1.Kalahari-RBH-FieldBook 15002-165073,1135,autumn,fossorial,no,no,0.2035
17643,KLT,22.28,-26.08,Trachylepis spilogaster,M,22/02/1970,8.73,4.5,57,88,NA,27.6,2,8.Kalahari-RBH-FieldBook-19961-21537.pdf,844,summer,diurnal,no,no,0.201
18966,KLT,22.28,-26.08,Ptenopus garrulus,M,18/04/1970,22.03,4.5,51,NA,20.8,20.2,4,8.Kalahari-RBH-FieldBook-19961-21537.pdf,2202,autumn,nocturnal,no,no,0.201
21654,KLR,22.06,-28.14,Meroles suborbitalis,F,13/10/1970,11.15,6,59,124,NA,NA,10,5.Kalahari-LC-FieldBook-16426-18493.pdf,1109,spring,diurnal,yes,no,0.201
15005,KLI,17.55,-30.08,Nucras tessellata,M,22/11/1969,NA,NA,NA,NA,NA,NA,11,3.Kalahari-ERP-FieldBook-16074-18527.pdf,NA,spring,diurnal,yes,no,0.2
15110,KLK,20.44,-25.45,Trachylepis sparsa,M,29/11/1969,16.02,NA,86,113,38,36.4,11,8.Kalahari-RBH-FieldBook-19961-21537.pdf,1601,spring,diurnal,yes,no,0.2
15147,KLK,20.44,-25.45,Pedioplanis lineoocellata,M,30/11/1969,16.3,NA,54,121,41,35,11,5.Kalahari-LC-FieldBook-16426-18493.pdf,1618,spring,diurnal,no,no,0.2
15157,KLK,20.44,-25.45,Trachylepis sparsa,M,30/11/1969,18.85,NA,83,NA,NA,NA,11,8.Kalahari-RBH-FieldBook-19961-21537.pdf,1851,spring,diurnal,yes,no,0.2
