"","obs_time","temperature","humidity","pressure","windspeed","winddir","emissivity","cloudcover","netlong","uplong","downlong","rad_dni","rad_dif","szenith","timezone"
"5005",1978-07-28 12:00:00,12.2651730389305,0.00584229971571176,97464.101463232,1.64178671186129,58.2399513041682,0.894937021475129,72.1481174990556,0.136158207990325,1.29668702811079,1.16052882012046,0,0,125.528266565659,"UTC"
"5006",1978-07-28 13:00:00,10.2051369451371,0.00605430013025721,97463.6618946177,1.66212902851906,72.5642757172421,0.898479385456797,62.0892511096094,0.130484275140743,1.28533356580314,1.1548492906624,0,0,138.628414749575,"UTC"
"5007",1978-07-28 14:00:00,9.88975681360373,0.00600756658939533,97497.7179292433,1.76787064496749,82.5914466144352,0.875767747066062,51.1563016186147,0.157534127664505,1.26885591165395,1.11132178398944,0,0,151.722867408477,"UTC"
"5008",1978-07-28 15:00:00,9.47821815206468,0.00594701963618588,97442.7353610554,1.97178304987486,84.6318559783546,0.860243343373594,26.6272658170426,0.174731652297499,1.25213968070949,1.07740802841199,0,0,164.346807936057,"UTC"
"5009",1978-07-28 16:00:00,9.01071379961864,0.0058539130659328,97435.0562852989,2.02002339789731,74.5127029644261,0.840459139261275,14.9196347407959,0.1966659693169,1.2340274260877,1.0373614567708,0,0,172.556144030178,"UTC"
"5010",1978-07-28 17:00:00,9.09997143733226,0.0057697127693957,97409.0715016007,2.15442647852391,58.4069697711735,0.875557545222216,9.04538257493678,0.153240389521944,1.23463226220909,1.08139187268715,0,0,164.729132913957,"UTC"
"5011",1978-07-28 18:00:00,8.78217269680775,0.00569331794907392,97439.8477936621,2.15147061770412,51.6713792168771,0.847830034898656,9.36960297775544,0.185852181118502,1.22289590093305,1.03704371981455,0,0,152.141373377493,"UTC"
"5012",1978-07-28 19:00:00,6.85321527628111,0.00510325285509859,97373.0907986429,2.03796964883395,50.3541067478565,0.817970463031902,8.00023304674486,0.222116941039094,1.22062228124618,0.998505340207089,0,0,139.051531927742,"UTC"
"5013",1978-07-28 20:00:00,5.96256698889322,0.00493618907596789,97357.2944423281,1.93371558963347,49.6296382151438,0.787010716509762,5.36759075531919,0.256395615255592,1.2038186312263,0.947423015970707,0,0,125.948460671799,"UTC"
"5014",1978-07-28 21:00:00,5.46341458473238,0.00484706592550687,97406.5564314327,1.84004886046289,47.0704260167538,0.781964471646576,9.33855845230594,0.258411001291316,1.18519888507881,0.926787883787496,0,0,113.006931975463,"UTC"
