"","x"
"1",0
"2",0
"3",0
"4",0
"5",0
"6",0
"7",0
"8",0
"9",0
"10",0
"11",0
"12",0
"13",0
"14",0
"15",0.0204939719311612
"16",0
"17",0
"18",0
"19",0
"20",0
"21",0
"22",0
"23",0
"24",0
"25",0
"26",0.0159631014300943
"27",0
"28",0.0127137924257317
"29",0.0318001347793473
"30",2.05363657685062
"31",0
"32",0.0232937298805203
"33",0
"34",0
"35",0.0897151238805757
"36",0.300731823644521
"37",0.0460340505070405
"38",0
"39",0.0497664668420502
"40",0
"41",0.000706853199856488
"42",0.00116193893092152
"43",0
"44",0
"45",0
"46",0
"47",0
"48",0.0638305459536523
"49",0.375936527199684
"50",0.71092151585539
"51",14.8237559666707
"52",49.6406525122431
"53",70.6058366584286
"54",12.7707559301833
"55",6.38078107120954
"56",7.47356696994595
"57",0.722003351287683
"58",0.0238376248279323
"59",9.41867608621806
"60",10.0909881574326
"61",0.346548006573334
"62",0
"63",0
"64",0
"65",0
"66",0
"67",0.00404979231930365
"68",0
"69",0.180511150003829
"70",0
"71",0.233135421888083
"72",0.310301750305684
"73",0
"74",0
"75",0.143923023437123
"76",0.0224708238873319
"77",0
"78",0.136791877670801
"79",0.418901732495314
"80",0.51379623102093
"81",0.0236857926504632
"82",0
"83",0
"84",1.85508356874555
"85",14.3743608950862
"86",2.21508311541844
"87",6.0029608958524
"88",0.0711600173976682
"89",0.65904058024871
"90",9.80870206016614
"91",7.79346399720704
"92",0.0247549297460342
"93",0
"94",0
"95",0
"96",0
"97",0
"98",0
"99",0
"100",0
"101",0
"102",0
"103",0
"104",0
"105",0
"106",3.67145755096821
"107",13.4449081379291
"108",1.36476634855924
"109",0.0854658913144156
"110",0.0496053131011153
"111",0.00950502397405015
"112",0.00475426099945522
"113",0.134959351366287
"114",0.000293190472421383
"115",0.000175381605778883
"116",0.230228766947744
"117",0.192815040721723
"118",1.37225395448025
"119",0.23729181373847
"120",0.242870644137197
"121",0.0658699844853722
"122",1.6488244397065
"123",0
"124",0.0102383785564925
"125",1.14624288402412
"126",0
"127",0
"128",0
"129",0
"130",0
"131",0
"132",0
"133",0
"134",0
"135",0
"136",0
"137",0
"138",0
"139",0
"140",0
"141",0.00461256768451484
