"","x"
"1",0
"2",0.142566432005383
"3",0.0291189013905469
"4",0
"5",0
"6",0
"7",0.140037621581862
"8",0.0264766208754941
"9",7.74249172580804
"10",0.177237403274857
"11",1.35120676688812
"12",0.0022009895331852
"13",0
"14",0
"15",0
"16",0
"17",0
"18",0
"19",0.0124342690568306
"20",0.4090975684458
"21",0
"22",0
"23",0
"24",0
"25",0
"26",0.0414890301885452
"27",0
"28",0
"29",0
"30",0
"31",0.000325404133408509
"32",0
"33",0
"34",0
"35",0
"36",0
"37",0
"38",0
"39",0
"40",0
"41",0
"42",0
"43",0
"44",0
"45",0
"46",0.117013816928654
"47",0
"48",0.0116913967654909
"49",2.16085605477133
"50",0.310091895352197
"51",0.0251303852193142
"52",0.000620209873244174
"53",0.41034738799877
"54",0.0280410636691813
"55",0.0925683580212079
"56",18.5381862449716
"57",6.8414031605345
"58",0.00501278915445265
"59",0.00540790403968656
"60",0.0549818746022034
"61",0.0292364910792325
"62",0.471668351847598
"63",2.40350132984552
"64",1.18909634546242
"65",0.0074800442900661
"66",0
"67",0.0870939614195429
"68",0.0621393848300352
"69",0.124630488777529
"70",0.0822737327631375
"71",0
"72",0.0158242960149368
"73",0
"74",0
"75",0
"76",0
"77",0.559130011045898
"78",0.141718747597565
"79",0.000432587599741194
"80",0
"81",0
"82",0
"83",0
"84",0
"85",0
"86",0
"87",0
"88",0
"89",0
"90",0
"91",0
"92",0
"93",0.0584386758721092
"94",0.120145863657537
"95",0
"96",0
"97",0.644545747076245
"98",0.258665007810825
"99",0
"100",0.0784719278362662
"101",0.635623512221501
"102",0
"103",0.0277261515983752
"104",0
"105",0.0039539150292776
"106",0.000433185344395321
"107",0
"108",0
"109",0
"110",0
"111",0.0060855641442934
"112",0.620480806961689
"113",0.0134710702240526
"114",0
"115",0
"116",0
"117",0
"118",0
"119",0
"120",0
"121",0
"122",0
"123",0
"124",0
"125",0
"126",0
"127",0.0505506860025546
"128",0.392482383574542
"129",0
"130",0
"131",0.0973859688926732
"132",5.6017153800762
"133",0
"134",0
"135",0
"136",0.0271865354696679
"137",0
"138",0
"139",0
"140",0
"141",0
"142",0.000135183624919188
"143",0
"144",0
"145",0
"146",0
"147",0
"148",0
"149",0
"150",0
"151",0
"152",0.183653298545937
"153",0
"154",0
"155",0
"156",0
"157",0
"158",0
"159",0
"160",0
"161",0
"162",0
"163",0
"164",0
"165",0
"166",0.120354605523091
"167",0
"168",0
"169",0
"170",0
"171",0
"172",0
"173",0
"174",0.695928855959321
"175",0.0763211552912784
"176",0.000402243534081306
"177",0
"178",0
"179",0
"180",0
"181",0.61521711997366
"182",0.0157182726687058
"183",0
"184",0.000371002851440505
"185",0
"186",0
"187",0
"188",0
"189",0
"190",0
"191",9.28254309418969e-05
"192",0.00948365973287011
"193",1.78041492041992
"194",0.0088003568345754
"195",0
"196",0.096655234588966
"197",0.0135792784802727
"198",0
"199",0
"200",0
"201",0
"202",0
"203",0
"204",0
"205",0
"206",0.60833554433943
"207",0.000635165653289089
"208",0
"209",0
"210",0
"211",0
"212",0
"213",0
"214",0
"215",0
"216",0
"217",0
"218",0
"219",1.40249585826678
"220",2.10854439557005
"221",1.6688746646583
"222",0
"223",0
"224",0
"225",0
"226",0
"227",0
"228",0.592923913987851
"229",0
"230",0
"231",0
"232",0
"233",0
"234",0
"235",0
"236",0
"237",0
"238",0
"239",0
"240",0
"241",0.249300671934909
"242",0.540019864115074
"243",0
"244",0
"245",0
"246",5.06485469957611
"247",1.07801863550179
"248",0.0222238120047462
"249",0.00222610352214633
"250",0
"251",0
"252",0
"253",0
"254",0
"255",0
"256",0
"257",0
"258",0
"259",0
"260",0
"261",0
"262",0
"263",0
"264",0
"265",0
"266",0
"267",0
"268",0
"269",0
"270",0.0012404197464876
"271",0.805130960973713
"272",0
"273",0
"274",0.115320895364903
"275",0
"276",0
"277",0.395209866024746
"278",0
"279",0
"280",0
"281",0
"282",1.27875664977403
"283",3.7406382827345
"284",1.8444428040121
"285",7.99787699179719
"286",0.779061301176891
"287",0.000761232257204259
"288",0.176302422610507
"289",0
"290",0
"291",0.0161417819421672
"292",0
"293",0.0424736678291949
"294",0.0028503514470016
"295",0
"296",0
"297",0
"298",0
"299",0.00114484698161589
"300",0.0744726932167668
"301",0
"302",0.245954075850716
"303",0
"304",0
"305",0
"306",0
"307",0
"308",0
"309",0
"310",0
"311",0
"312",0
"313",0
"314",0
"315",0
"316",0
"317",0.000247534482511675
"318",0
"319",0
"320",0
"321",0
"322",0
"323",0
"324",0
"325",0
"326",0.00279649792932462
"327",0
"328",0
"329",0.0066866520054957
"330",0.00235365434591142
"331",0
"332",0
"333",0
"334",0
"335",0
"336",0
"337",0
"338",0
"339",0.00310104936621938
"340",0
"341",0
"342",0
"343",0
"344",0
"345",0
"346",0
"347",0
"348",0
"349",0
"350",0
"351",0
"352",0
"353",0
"354",0.0677484949111561
"355",0
"356",0
"357",0
"358",0
"359",0
"360",0
"361",0
"362",0
"363",0.0646087212230261
"364",0.214464924729116
"365",0.0275060851487087
"366",0
