"","obs_time","temperature","humidity","pressure","windspeed","winddir","emissivity","cloudcover","netlong","uplong","downlong","rad_dni","rad_dif","szenith","timezone"
"4492",1953-07-07 03:00:00,6.881460096328,0.00421674042153854,92394.8277007624,2.28828599854451,51.707756605518,0.801646937264326,0,0.24008238789757,1.21036037666763,0.970277988770065,0,0,121.917775827845,"UTC"
"4493",1953-07-07 04:00:00,6.47362061929778,0.0042103432569452,92334.6390844949,2.33226591136501,49.5925272514418,0.802721677335812,0,0.237305697200853,1.20287400786138,0.965568310660523,0,0,109.12530771093,"UTC"
"4494",1953-07-07 05:00:00,6.16970300151828,0.00419835187912188,92364.4668591912,2.32263467107997,46.5164737644021,0.803192540831434,0,0.235461008274778,1.19637683501888,0.9609158267441,0,0,96.7269348999387,"UTC"
"4495",1953-07-07 06:00:00,6.42865980834485,0.00417818496714688,92461.9836857437,2.29159297563198,46.0522389047607,0.803145797718335,0,0.234778978212855,1.19262985271286,0.9578508745,0.0349583717825169,0.050541543939392,84.9257757443358,"UTC"
"4496",1953-07-07 07:00:00,9.24768252679126,0.00410919686362243,92493.7851916843,2.30679912852808,43.1441468824154,0.768481409440314,0,0.290014411537519,1.25262974871973,0.962615337182209,0.659056205042605,0.76446639637917,74.0316663759224,"UTC"
"4497",1953-07-07 08:00:00,13.507788600717,0.00407087502449081,92516.6781876462,2.21726133553561,40.219126757975,0.71995451106203,0,0.382675151905306,1.36636158348632,0.983686431581011,1.16175478196923,0.948288085853322,64.5247354287909,"UTC"
"4498",1953-07-07 09:00:00,17.6135381942528,0.00410620961592632,92509.1645862323,2.38978402367331,35.0158439884267,0.680061203418134,0,0.476862421533265,1.49024471173689,1.01338229020362,1.61992091709055,1.07489593259612,57.1167997622527,"UTC"
"4499",1953-07-07 10:00:00,18.8848426709058,0.00379047691465061,92407.2199637041,2.3250032086971,22.3579016504333,0.65383549459842,0,0.551914465037157,1.59406448335898,1.04215001832182,1.86223507858869,1.07303921030226,52.710764346871,"UTC"
"4500",1953-07-07 11:00:00,19.6783109020522,0.00374431730817648,92327.2708818618,1.99255647527576,23.7259981643622,0.638475304727798,0,0.601957581209906,1.66462721644899,1.06266963523908,1.89756050846474,1.06761788035057,52.0795941737603,"UTC"
"4501",1953-07-07 12:00:00,21.1287510506772,0.0039388710615682,92275.7112555979,1.90600136900925,29.6139022593916,0.63216045224714,0,0.624146414050971,1.69633292147327,1.0721865074223,1.71954435297032,1.06075329188115,55.353244703878,"UTC"
"4502",1953-07-07 13:00:00,21.3512462739345,0.00385642554990376,92180.9509824201,1.99364552084687,36.4224916365368,0.637499790037067,0,0.610889759600483,1.68482571234688,1.0739359527464,1.33365804572709,0.979934255651366,61.9121690897586,"UTC"
"4503",1953-07-07 14:00:00,21.3208159685617,0.00379948688012969,92185.449645161,2.18575597902759,41.2386310242495,0.653137265182983,0,0.56763195019254,1.63621820479081,1.06858625459827,0.84852581103224,0.808214965951974,70.8433863201096,"UTC"
"4504",1953-07-07 15:00:00,20.6545445236937,0.00377530598370599,92190.5996556054,1.94990444907994,40.4101686353104,0.679949527998903,0,0.498749016247047,1.55823494787256,1.05948593162551,0.235161462333257,0.293715596379552,81.3603854324838,"UTC"
"4505",1953-07-07 16:00:00,17.2135995491629,0.00425155003043,92201.9995592209,1.81170762322715,37.7233156609384,0.721645379116311,0,0.403015347524179,1.44779292010632,1.04477757258214,0,0,92.9145886897278,"UTC"
"4506",1953-07-07 17:00:00,16.0641598569702,0.00427399230805153,92242.6537744129,1.7133327986249,25.3876224680182,0.760308812878224,0,0.326097201809544,1.36044298722832,1.03434578541877,0,0,105.149873138757,"UTC"
"4507",1953-07-07 18:00:00,15.3455291333473,0.00418300846668534,92284.6808710848,1.74623204326185,210.818488207426,0.772499823952094,0,0.302081466496201,1.32778916813438,1.02570770163818,0,0,117.835120542614,"UTC"
"4508",1953-07-07 19:00:00,14.6424500583469,0.00406711322056753,92299.966529517,2.07716934836097,348.345428756966,0.783905726789448,0,0.282489191949647,1.30712163585958,1.02463244390993,0,0,130.812745228573,"UTC"
