"","x"
"1",0
"2",0
"3",0
"4",0
"5",0
"6",0
"7",0
"8",0.00426693377743995
"9",0.0215007548897131
"10",0.202994170273287
"11",0.0426371823137249
"12",0.526248206425912
"13",1.36106542941089
"14",0.0144943379207046
"15",2.24803805070757
"16",0
"17",0
"18",0
"19",0
"20",0.747304710444243
"21",0.154190948686795
"22",0.132536765346483
"23",0
"24",0.0104803391144724
"25",1.42047389671999
"26",2.30985041880386
"27",1.00443925937754
"28",0.00203991575821377
"29",0.721729862629834
"30",1.61768878077544
"31",0.154868864111343
"32",0
"33",0
"34",0
"35",0
"36",0
"37",0
"38",0
"39",0
"40",0
"41",0
"42",0
"43",0.537904383718433
"44",0.00479707455265997
"45",0
"46",0
"47",0
"48",0
"49",0.314808071438802
"50",0
"51",0
"52",0.407596452316285
"53",0
"54",0.000152368423270179
"55",0
"56",0
"57",0.181580272379276
"58",0.032161795003715
"59",0.145191574493929
"60",0
"61",0
"62",0.000936696011424674
"63",2.72476403706619
"64",0
"65",1.47926287495418
"66",0.0563057203941474
"67",0
"68",0.000279693159698664
"69",0.000771106687630548
"70",2.40164427065682
"71",0
"72",0
"73",0
"74",0
"75",0
"76",0
"77",1.17889383747859
"78",0
"79",0
"80",0.581098929721585
"81",12.6984769453315
"82",5.41897594997297
"83",3.65516466276846
"84",7.72759318618975
"85",0
"86",0
"87",0
"88",2.00999401353192
"89",1.80922811164141
"90",0
"91",0.516636349080693
"92",2.74460054168156
"93",0.0928680658226323
"94",0.956332358788641
"95",0
"96",0
"97",0.555890529571062
"98",3.65048147948078
"99",0.000495197375627951
"100",10.6200953065065
"101",6.9093118758
"102",0
"103",0
"104",0
"105",0
"106",0
"107",0
"108",0
"109",0
"110",0
"111",0
"112",0
"113",0
"114",0
"115",0
"116",0
"117",0
"118",0
"119",0
"120",0
"121",0
"122",0
"123",0
"124",0
"125",0
"126",0
"127",0
"128",0
"129",0.221063213201109
"130",0
"131",0
"132",0
"133",0
"134",0
"135",0
"136",0
"137",0
"138",0
"139",0
"140",0
"141",0
"142",0
"143",0
"144",0
"145",0
"146",0
"147",0
"148",0
"149",0
"150",0
"151",0
"152",0.391319987517431
"153",2.24884875873143
"154",0.0292956742682345
"155",0.0968124407256868
"156",0
"157",0
"158",0
"159",0
"160",0.00102359611625899
"161",1.69714992107086
"162",0.000559386319397328
"163",0
"164",0
"165",0
"166",0
"167",0.000152368423270179
"168",0.00114343033550558
"169",0
"170",0
"171",0
"172",0
"173",0
"174",0
"175",0.000676793097705054
"176",0
"177",26.5858287431016
"178",0.209905303416728
"179",0.000152368423270179
"180",0
"181",0
"182",0
"183",0
"184",0
"185",0
"186",0
"187",0
"188",0
"189",0
"190",0
"191",0
"192",0.00720931498224004
"193",0.00606089596603884
"194",0
"195",1.02380155710392
"196",0
"197",0
"198",0
"199",0
"200",0
"201",0.318436489790509
"202",0.674039208314573
"203",3.92523152354786
"204",1.05790210299469
"205",0.106837158446977
"206",7.61842116350894e-05
"207",0
"208",0
"209",0
"210",0.00437116853117043
"211",0
"212",0.000624380246499903
"213",0
"214",0
"215",0
"216",0
"217",0
"218",0
"219",0
"220",0
"221",0
"222",0
"223",0
"224",0
"225",0
"226",0
"227",0
"228",0
"229",0
"230",0
"231",0
"232",0
"233",0.0181063809383745
"234",0.0794248935307724
"235",0.0341973755501614
"236",0.000661167664433243
"237",0.115794508492546
"238",2.21619265288459
"239",0.732421146085523
"240",0
"241",0.0109489356002088
"242",0.0799675219404012
"243",0.03780021778971
"244",0.000152368423270179
"245",0
"246",0
"247",0.190939981759069
"248",0
"249",0
"250",0
"251",0.000208126748833301
"252",0
"253",0
"254",0
"255",0.277003484076259
"256",0
"257",0
"258",0.465579855319504
"259",0
"260",0
"261",0
"262",0
"263",2.664820952389
"264",0
"265",0
"266",0
"267",0
"268",0
"269",0.00532940326974597
"270",0.000864150036941684
"271",0
"272",0.00201929910955022
"273",0.0969870464139671
"274",0
"275",0
"276",0
"277",0
"278",0
"279",0
"280",0.000152368423270179
"281",0
"282",0.000416253497666602
"283",0
"284",0
"285",0
"286",0
"287",0
"288",0
"289",0
"290",0
"291",1.87733426459901
"292",0.0386812014096248
"293",0.490480970710411
"294",0
"295",0
"296",0.0220107524412332
"297",0.0662150415233614
"298",0.724016136811214
"299",0.0425374786243744
"300",0.00319836723893035
"301",0
"302",0
"303",0
"304",0
"305",0
"306",0
"307",0
"308",0
"309",0
"310",0.541038060436795
"311",0
"312",0
"313",0
"314",0
"315",0
"316",0
"317",0
"318",0
"319",0
"320",0
"321",0
"322",0
"323",0
"324",0.000209506581996431
"325",0
"326",0
"327",0
"328",0
"329",0
"330",0
"331",0
"332",0
"333",0
"334",0
"335",0.0931077194869109
"336",0.00629764575149536
"337",0
"338",0
"339",0
"340",0
"341",0
"342",0.0133147824296526
"343",0
"344",0
"345",0.07470723967489
"346",0
"347",0
"348",0
"349",0
"350",0
"351",0
"352",0
"353",8.32618676822122e-05
"354",0
"355",0
"356",0
"357",0
"358",0
"359",0
"360",0
"361",0
"362",0.418797250287711
"363",1.14580506239278
"364",0.110821772731785
"365",0.325619386881968
