"","obs_time","temperature","humidity","pressure","windspeed","winddir","emissivity","cloudcover","netlong","uplong","downlong","rad_dni","rad_dif","szenith","timezone"
"8139",2013-12-06 02:00:00,20.5294437128799,0.00626936866760748,96717.4486747653,4.59921849532757,48.369326651533,0.849363071639257,100,0.250163471164717,1.6604732852343,1.41030981406958,0.243512086740006,1.10307419158975,25.2415999800196,"UTC"
"8140",2013-12-06 03:00:00,21.9727699177803,0.00671547655163545,96651.9407417171,4.17685288529235,48.9469417641684,0.80553288729849,100,0.341868311620295,1.75779126092595,1.41592294930566,0.570151812368062,1.54286701716774,13.0658437646916,"UTC"
"8141",2013-12-06 04:00:00,26.8698213872745,0.00737443466423767,96543.7366555466,5.12039137897718,46.4207862151214,0.735704447802169,98.8680901024066,0.505028513689717,1.9106539856909,1.40562547200119,1.55909473366973,1.47105652134241,8.45382375609953,"UTC"
"8142",2013-12-06 05:00:00,29.657530136088,0.00765376142095706,96419.0176030197,6.44145905634777,36.662955793163,0.739415909610584,97.3296627027253,0.513766275011866,1.9696309747183,1.45586469970644,1.04179181225143,1.54035752019724,18.4564871167698,"UTC"
"8143",2013-12-06 06:00:00,31.0151821039132,0.00725910202204452,96333.8145700474,7.12818197543184,32.7078763823721,0.724231486082053,98.5255782979364,0.549650270796662,1.9921535097681,1.44250323897144,1.16495617163156,1.42744303875068,31.2219413763947,"UTC"
"8144",2013-12-06 07:00:00,32.0722596213573,0.00686267187224089,96289.3208805059,6.88477015113129,31.3826442001928,0.803744213579325,92.7367833826757,0.341683139277221,1.74030410541138,1.39862096613416,0.279510464522432,1.16271091822363,44.3319098814894,"UTC"
"8145",2013-12-06 08:00:00,31.5992727385657,0.00773023613595506,96213.993182074,5.8736695312814,37.2954181804667,0.839838397900648,97.9044161016198,0.271471912920105,1.69450205504378,1.42303014212368,0.0957337050489862,0.653854451958459,57.417791476188,"UTC"
"8146",2013-12-06 09:00:00,29.7533384188972,0.00801115155228468,96160.0651258352,5.41122642369422,46.6537762833777,0.863315854719387,90.3223832020851,0.225175726990164,1.64673360350467,1.42155787651451,0.0585556261547103,0.369144475510652,70.316108729338,"UTC"
"8147",2013-12-06 10:00:00,20.8657030109774,0.0108871410062131,96222.0040907168,5.43807527288003,63.6752499978136,0.865819809138603,44.6675150696581,0.217192301027233,1.61782624810561,1.40063394707838,0.084453900106932,0.188502014892136,82.8763057940756,"UTC"
"8148",2013-12-06 11:00:00,20.6022230653515,0.011440883214749,96221.708567727,4.38527963813469,63.3913903184927,0.861952061402063,41.0636115714686,0.215861314137873,1.56266181816165,1.34680050402377,0,0,94.9015448144306,"UTC"
