"","x"
"1",0.371029338767106
"2",0.532601074754415
"3",0.00380333308605752
"4",0.00756826465584604
"5",0.0522868301614618
"6",0.210357439079434
"7",0.065321705617256
"8",0.0633346377854024
"9",0.00431673004989059
"10",0
"11",0.324497269631965
"12",2.56618869307754
"13",0.306726647668595
"14",0
"15",0
"16",0
"17",0.000321204732015589
"18",1.32447023321067
"19",0.0802235713973033
"20",0.0902622039344888
"21",0.000567867254075199
"22",0
"23",0
"24",0
"25",0
"26",0
"27",0
"28",0
"29",0
"30",0
"31",0
"32",0
"33",0.00549939581698399
"34",0.219468065351422
"35",0.133499556440918
"36",1.27106436861978
"37",4.67929691415547
"38",9.771894116729
"39",0.000118266576709188
"40",0
"41",0
"42",0
"43",0
"44",0
"45",3.0012347242931
"46",26.6700752972286
"47",16.5394394155161
"48",2.25170045331093
"49",0.00115910727862733
"50",0
"51",0
"52",0
"53",0
"54",0
"55",0.00110248757198322
"56",1.43761120777804
"57",26.3629141168117
"58",3.214753287266
"59",0
"60",0
"61",0
"62",7.00391868991821
"63",0.0721639249408349
"64",4.0462162489144
"65",2.02476576322143
"66",0
"67",0
"68",0
"69",0.141692251518655
"70",0.160863308318676
"71",0.0489168436624509
"72",0
"73",0
"74",0.00223231970837301
"75",0.0597205690434111
"76",0
"77",0
"78",0
"79",0
"80",0.827937959458281
"81",0
"82",0.218045296736519
"83",0.00238281311655973
"84",0
"85",0
"86",0.0164733772018866
"87",0
"88",0.00688064815525997
"89",0.00457706681064811
"90",0.0749858848472251
"91",0
"92",0
"93",0
"94",0
"95",0
"96",0
"97",0.0182255398663787
"98",0
"99",0.00353094411194391
"100",0
"101",0
"102",0
"103",0
"104",0
"105",0
"106",0
"107",0
"108",0.062328391522074
"109",0.0206734605231408
"110",0
"111",0
"112",0
"113",0
"114",0
"115",0
"116",0
"117",0
"118",0
"119",0
"120",0.043390942717935
"121",0.222089042145297
"122",0.0329257939634937
"123",0.375508515830278
"124",0.513364835255262
"125",0.280778284974372
"126",0
"127",0
"128",0
"129",0
"130",0
"131",0
"132",0
"133",0.667010293904553
"134",0
"135",0
"136",0
"137",0
"138",0.232189824097316
"139",0
"140",0
"141",0.00411911810367945
"142",3.16388000990683
"143",0.00268800847548778
"144",0
"145",10.253872772034
"146",0.000973743564688521
"147",0.0353534423231524
"148",0.567840733480156
"149",10.1579158016316
"150",0.720508626582503
"151",0
"152",0.278873432868649
"153",0.0217856487560842
"154",0
"155",0
"156",0
"157",2.43891241901929
"158",0.0286215224741801
"159",0.44141536709028
"160",0
"161",0.0002029381553064
"162",0
"163",0
"164",0.0002029381553064
"165",0
"166",0
"167",0.00032398188692435
"168",0.035149325562211
"169",0
"170",0
"171",0.0635557922985726
"172",0.000642409464031767
"173",0
"174",5.11212782565229
"175",10.2412977823943
"176",0.153223444628678
"177",0.0336427938416137
"178",0.0106005378527143
"179",0.0381674839563059
"180",0.0982958239950806
"181",0.590163759642997
"182",0
"183",0
"184",0
"185",0
"186",0.174954939457661
"187",0.336980469298995
"188",2.50575030428402
"189",0.108722577938763
"190",0.0483311818188628
"191",0.00191244228929439
"192",0
"193",0
"194",0
"195",0
"196",0
"197",0
"198",0
"199",0.312902678795886
"200",0
"201",0
"202",0.0134103303891649
"203",3.34737365085021
"204",0
"205",0
"206",0.0226300189219499
"207",0.208997559536026
"208",0
"209",0
"210",0
"211",0.91958366706246
"212",1.08318300958117
"213",13.6131342973055
"214",4.26188768086933
"215",0.0286847375961343
"216",0.458306546125087
"217",0.0349501886013872
"218",4.14523739354442
"219",3.4319797932814
"220",0
"221",0.00121672997988171
"222",0.12209178686632
"223",0.0660890080395017
"224",0
"225",0
"226",0.00353797689499724
"227",0.0257320397903791
"228",0.026010781342231
"229",0
"230",0
"231",0
"232",0.00157714232113147
"233",0
"234",0
"235",0
"236",0
"237",8.09954717310133e-05
"238",0.00555049131424288
"239",0
"240",0
"241",0.00028309297638502
"242",0
"243",0.0002029381553064
"244",0
"245",0
"246",0
"247",0.49426484914076
"248",0
"249",0
"250",0
"251",0
"252",0
"253",0
"254",0
"255",0.0433830509636782
"256",0.117536849301701
"257",0.0301384929470067
"258",0.000931056750233869
"259",0.000992599577646406
"260",0
"261",0
"262",0
"263",0
"264",0
"265",0
"266",0.795406836362214
"267",0.851687911254054
"268",0
"269",0
"270",0
"271",0
"272",0
"273",0
"274",0.000303537431654685
"275",0
"276",0
"277",0
"278",0
"279",0
"280",0.102188874038738
"281",0
"282",0
"283",0
"284",0
"285",0.00357782825323884
"286",0
"287",0
"288",0.218495811399906
"289",0.00142259645039545
"290",0
"291",0
"292",0
"293",0
"294",0.194830193338626
"295",0.0060827938685343
"296",0
"297",0
"298",0.010291267731584
