"","x"
"1",0
"2",0
"3",0.142217761475526
"4",0.0509602793013722
"5",0
"6",4.89310346858119
"7",0.000996459517981299
"8",0
"9",0
"10",0.016697752300814
"11",0
"12",0
"13",0
"14",0
"15",0
"16",0
"17",0
"18",0
"19",0
"20",0.0156026791247305
"21",0
"22",0
"23",0.00302747532797803
"24",0.843161044102661
"25",0.134103227720226
"26",0.0261792502945978
"27",0.0587072238670849
"28",0
"29",0
"30",0
"31",0
"32",0
"33",0
"34",0
"35",0
"36",0
"37",0
"38",0
"39",0
"40",0
"41",0
"42",0.0885092617053085
"43",0
"44",0
"45",0
"46",0
"47",0
"48",0
"49",1.05884881750979
"50",11.0319934215104
"51",1.16219120257912
"52",0
"53",0.821650172172206
"54",0.065224252555023
"55",0.00484965686885917
"56",0
"57",0.0157305699372283
"58",0.000102086043629189
"59",0.0130154288927606
"60",0
"61",0.00119249796580325
"62",0.118767253510191
"63",0.0340189561244131
"64",0.711796886415937
"65",3.78006904308277
"66",9.19759487595791
"67",0
"68",10.7389240590753
"69",0.248541293871186
"70",0.0725866045802281
"71",0.000416668335183429
"72",0
"73",0
"74",0
"75",0.000568577023402896
"76",0
"77",0.137583276216462
"78",9.61651243041711
"79",8.40151110957553
"80",1.62417592359265
"81",0.185288996064993
"82",0.00745302632679438
"83",0.000235889088358228
"84",0.00259999455372551
"85",0
"86",0
"87",0
"88",0
"89",0
"90",0
"91",0
"92",0.00246086757080469
"93",0
"94",0
"95",0
"96",0.0198998098043405
"97",0
"98",0
"99",0
"100",0
"101",0
"102",3.84871260462274
"103",0.319402276232346
"104",0
"105",0
"106",0
"107",0
"108",0
"109",0
"110",0
"111",0
"112",0
"113",0
"114",0
"115",1.08373727043178
"116",6.26433977856766
"117",2.69551372961958
"118",0.225302734721086
"119",0.00601086818739669
"120",0.000383672437493263
"121",0.0926062756061028
"122",0.158014636920823
"123",5.95306990870382
"124",0.00479047207966391
"125",0
"126",0
"127",5.19204915358111
"128",3.55686644231303
"129",2.78492048160702
"130",0.00841157655589665
"131",0
"132",0
"133",0.00932305864401682
"134",0
"135",0
"136",0
"137",2.32883213580476
"138",0.340305454939066
"139",0.259169359726955
"140",20.1702623541643
"141",2.05143919028622
"142",0
"143",0
"144",0
"145",0.11306117836355
"146",12.505755099545
"147",0.104457763844631
"148",8.02436077866347
"149",0.0190147919856667
"150",2.06929231333099
"151",0.464148022890902
"152",0
"153",0
"154",0
"155",0
"156",0
"157",0.0161495505305908
"158",0.000404843870720861
"159",0
"160",0
"161",0
"162",0
"163",0
"164",0
"165",0
"166",0
"167",0
"168",0
"169",0
"170",0
"171",0
"172",0
"173",0.428184967563665
"174",0
"175",0
"176",0
"177",0.151263049926392
"178",0.0243917862138981
"179",0
"180",0
"181",0
"182",0
"183",0
"184",0
"185",0.540719376555809
"186",3.72756617867882
"187",1.24160514910468
"188",0.00200307674639025
"189",0.0336592366697392
"190",0.0161591168465989
"191",0
"192",0
"193",0.000937578553939476
"194",0.0497189272207474
"195",0
"196",0
"197",0.0218544973057495
"198",0.0243436748553216
"199",0.866745717608538
"200",10.0119294428021
"201",5.88033913444908
"202",0.736692269668029
"203",0.373977117453262
"204",0.0967021685338022
"205",0.00710849214916936
"206",0.000911302529763279
"207",0
"208",1.83783746239493
"209",1.48058204162702
"210",0.382116959299717
"211",0.00469780956747407
"212",0
"213",0
"214",0.205778478246608
"215",4.97078662755289
"216",0.0018044479445668
"217",0
"218",0
"219",0.815944527088888
"220",0.000716484459166082
"221",0.00960352870384737
"222",0
"223",0
"224",0
"225",0.00264250198286622
"226",0
"227",0
"228",0
"229",0
"230",0.151615945958811
"231",6.48028319415892
"232",0.072046023801758
"233",0
"234",0
"235",0
"236",0
"237",0
"238",0
"239",0
"240",0
"241",0
"242",0.0168984750169798
"243",0
"244",0
"245",0
"246",0
"247",0.000509937184721481
"248",0
"249",0.0392470928883798
"250",0.218904966621256
"251",0
"252",0
"253",0
"254",0
"255",0
"256",0
"257",0
"258",0.542713655123319
"259",0.0677589173842001
"260",0
"261",0
"262",0
"263",0
"264",0
"265",1.274005060229
"266",2.3026084145613
"267",0.0184523502967481
"268",0
"269",0
"270",0.725082470402656
"271",12.2262242301673
"272",0.815882479473252
"273",0.161277098853539
"274",0.776193923957717
"275",0.102951438829207
"276",0.000191288073448549
"277",0
"278",0
"279",0
"280",0
"281",0.492469698671257
"282",0.0366317198495479
"283",0
"284",0
"285",0.00409250599992963
"286",0
"287",0
"288",0
"289",0
"290",2.43920067922808
"291",0.426049282381998
"292",0
"293",0
"294",0
"295",0
"296",0
"297",0
"298",0
"299",0
"300",0
"301",0
"302",0
"303",0
"304",0
"305",0
"306",0
"307",0
"308",0
"309",0
"310",0
"311",0
"312",0
"313",0.000344417138892332
"314",0
"315",0
"316",0
"317",0
"318",0
"319",0
"320",0.349539042104521
"321",0
"322",0
"323",0
"324",0
"325",0.000816688349033811
"326",0.151934281158763
"327",0.0102083691403318
"328",0.000238264275544711
"329",0
"330",0
"331",0
"332",0
"333",0.127615507877773
"334",0.0468094831646176
"335",0
"336",0
"337",0
"338",42.9598304997804
"339",0.366157911425066
"340",0
"341",0.520785240850662
"342",0
"343",0
"344",0
"345",0
"346",0
"347",0.000745311228627192
"348",0
"349",0.10885257601926
"350",0.146631752107245
"351",0
"352",0
"353",0
"354",0
"355",0
"356",0
"357",0
"358",0.175598315314547
"359",0
"360",0
"361",3.13044224103364
"362",0.0868026028711432
"363",0
"364",0
"365",0
"366",0
