Genus_species,mass_g,svl_mm,gut_vol_cc,diel
C. isolepis,5.063667524,50.13324764,0.184,diurnal
C. quatt,3.812633452,55.44513642,0.168,diurnal
G. variegata,3.589259259,51.2037037,1.114,nocturnal
M. horridus,38.7237037,86.19259259,1.14,diurnal
P. minor,36.36180905,96.02261307,1.28,diurnal
