Product code,Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality
IDCJAC0011,12045,1957,04,08,18.9,1,Y
IDCJAC0011,12045,1957,04,09,11.7,1,Y
IDCJAC0011,12045,1957,04,10,10.6,1,Y
IDCJAC0011,12045,1957,04,11,12.2,1,Y
IDCJAC0011,12045,1957,04,12,17.8,1,Y
IDCJAC0011,12045,1957,04,13,15.6,1,Y
IDCJAC0011,12045,1957,04,14,18.9,1,Y
IDCJAC0011,12045,1957,04,15,14.4,1,Y
IDCJAC0011,12045,1957,04,16,18.3,1,Y
IDCJAC0011,12045,1957,04,17,12.8,1,Y
IDCJAC0011,12045,1957,04,18,16.1,1,Y
IDCJAC0011,12045,1957,04,19,13.3,1,Y
IDCJAC0011,12045,1957,04,20,12.8,1,Y
IDCJAC0011,12045,1957,04,21,13.3,1,Y
IDCJAC0011,12045,1957,04,22,18.9,1,Y
IDCJAC0011,12045,1957,04,23,9.4,1,Y
IDCJAC0011,12045,1957,04,24,7.8,1,Y
IDCJAC0011,12045,1957,04,25,7.8,1,Y
IDCJAC0011,12045,1957,04,26,12.8,1,Y
IDCJAC0011,12045,1957,04,27,18.3,1,Y
IDCJAC0011,12045,1957,04,28,13.3,1,Y
IDCJAC0011,12045,1957,04,29,11.1,1,Y
IDCJAC0011,12045,1957,04,30,11.7,1,Y
IDCJAC0011,12045,1957,05,01,11.1,1,Y
IDCJAC0011,12045,1957,05,02,9.4,1,Y
IDCJAC0011,12045,1957,05,03,7.2,1,Y
IDCJAC0011,12045,1957,05,04,8.9,1,Y
IDCJAC0011,12045,1957,05,05,9.4,1,Y
IDCJAC0011,12045,1957,05,06,9.4,1,Y
IDCJAC0011,12045,1957,05,07,12.8,1,Y
IDCJAC0011,12045,1957,05,08,10.0,1,Y
IDCJAC0011,12045,1957,05,09,9.4,1,Y
IDCJAC0011,12045,1957,05,10,10.0,1,Y
IDCJAC0011,12045,1957,05,11,11.1,1,Y
IDCJAC0011,12045,1957,05,12,11.7,1,Y
IDCJAC0011,12045,1957,05,13,14.4,1,Y
IDCJAC0011,12045,1957,05,14,16.7,1,Y
IDCJAC0011,12045,1957,05,15,13.3,1,Y
IDCJAC0011,12045,1957,05,16,4.4,1,Y
IDCJAC0011,12045,1957,05,17,5.0,1,Y
IDCJAC0011,12045,1957,05,18,5.6,1,Y
IDCJAC0011,12045,1957,05,19,7.8,1,Y
IDCJAC0011,12045,1957,05,20,6.1,1,Y
IDCJAC0011,12045,1957,05,21,7.2,1,Y
IDCJAC0011,12045,1957,05,22,10.0,1,Y
IDCJAC0011,12045,1957,05,23,11.1,1,Y
IDCJAC0011,12045,1957,05,24,11.7,1,Y
IDCJAC0011,12045,1957,05,25,12.8,1,Y
IDCJAC0011,12045,1957,05,26,9.4,1,Y
IDCJAC0011,12045,1957,05,27,13.9,1,Y
IDCJAC0011,12045,1957,05,28,10.0,1,Y
IDCJAC0011,12045,1957,05,29,10.6,1,Y
IDCJAC0011,12045,1957,05,30,9.4,1,Y
IDCJAC0011,12045,1957,05,31,6.1,1,Y
IDCJAC0011,12045,1957,06,01,15.6,1,Y
IDCJAC0011,12045,1957,06,02,15.0,1,Y
IDCJAC0011,12045,1957,06,03,12.8,1,Y
IDCJAC0011,12045,1957,06,04,17.8,1,Y
IDCJAC0011,12045,1957,06,05,17.2,1,Y
IDCJAC0011,12045,1957,06,06,16.7,1,Y
IDCJAC0011,12045,1957,06,07,11.7,1,Y
IDCJAC0011,12045,1957,06,08,17.2,1,Y
IDCJAC0011,12045,1957,06,09,16.1,1,Y
IDCJAC0011,12045,1957,06,10,8.9,1,Y
IDCJAC0011,12045,1957,06,11,5.6,1,Y
IDCJAC0011,12045,1957,06,12,4.4,1,Y
IDCJAC0011,12045,1957,06,13,6.7,1,Y
IDCJAC0011,12045,1957,06,14,12.8,1,Y
IDCJAC0011,12045,1957,06,15,11.7,1,Y
IDCJAC0011,12045,1957,06,16,12.2,1,Y
IDCJAC0011,12045,1957,06,17,8.3,1,Y
IDCJAC0011,12045,1957,06,18,7.8,1,Y
IDCJAC0011,12045,1957,06,19,8.9,1,Y
IDCJAC0011,12045,1957,06,20,8.3,1,Y
IDCJAC0011,12045,1957,06,21,6.1,1,Y
IDCJAC0011,12045,1957,06,22,10.0,1,Y
IDCJAC0011,12045,1957,06,23,6.1,1,Y
IDCJAC0011,12045,1957,06,24,5.6,1,Y
IDCJAC0011,12045,1957,06,25,4.4,1,Y
IDCJAC0011,12045,1957,06,26,5.6,1,Y
IDCJAC0011,12045,1957,06,27,9.4,1,Y
IDCJAC0011,12045,1957,06,28,3.3,1,Y
IDCJAC0011,12045,1957,06,29,3.3,1,Y
IDCJAC0011,12045,1957,06,30,1.1,1,Y
IDCJAC0011,12045,1957,07,01,5.6,1,Y
IDCJAC0011,12045,1957,07,02,7.2,1,Y
IDCJAC0011,12045,1957,07,03,1.7,1,Y
IDCJAC0011,12045,1957,07,04,2.8,1,Y
IDCJAC0011,12045,1957,07,05,2.8,1,Y
IDCJAC0011,12045,1957,07,06,0.6,1,Y
IDCJAC0011,12045,1957,07,07,2.2,1,Y
IDCJAC0011,12045,1957,07,08,3.3,1,Y
IDCJAC0011,12045,1957,07,09,1.7,1,Y
IDCJAC0011,12045,1957,07,10,2.8,1,Y
IDCJAC0011,12045,1957,07,11,1.1,1,Y
IDCJAC0011,12045,1957,07,12,3.9,1,Y
IDCJAC0011,12045,1957,07,13,3.9,1,Y
IDCJAC0011,12045,1957,07,14,-2.2,1,Y
IDCJAC0011,12045,1957,07,15,0.6,1,Y
IDCJAC0011,12045,1957,07,16,0.6,1,Y
IDCJAC0011,12045,1957,07,17,-1.1,1,Y
IDCJAC0011,12045,1957,07,18,-0.6,1,Y
IDCJAC0011,12045,1957,07,19,3.9,1,Y
IDCJAC0011,12045,1957,07,20,1.7,1,Y
IDCJAC0011,12045,1957,07,21,0.6,1,Y
IDCJAC0011,12045,1957,07,22,5.6,1,Y
IDCJAC0011,12045,1957,07,23,2.8,1,Y
IDCJAC0011,12045,1957,07,24,6.1,1,Y
IDCJAC0011,12045,1957,07,25,7.8,1,Y
IDCJAC0011,12045,1957,07,26,5.6,1,Y
IDCJAC0011,12045,1957,07,27,2.2,1,Y
IDCJAC0011,12045,1957,07,28,0.6,1,Y
IDCJAC0011,12045,1957,07,29,2.8,1,Y
IDCJAC0011,12045,1957,07,30,3.3,1,Y
IDCJAC0011,12045,1957,07,31,9.4,1,Y
IDCJAC0011,12045,1957,08,01,3.3,1,Y
IDCJAC0011,12045,1957,08,02,1.7,1,Y
IDCJAC0011,12045,1957,08,03,4.4,1,Y
IDCJAC0011,12045,1957,08,04,8.3,1,Y
IDCJAC0011,12045,1957,08,05,7.2,1,Y
IDCJAC0011,12045,1957,08,06,3.9,1,Y
IDCJAC0011,12045,1957,08,07,3.9,1,Y
IDCJAC0011,12045,1957,08,08,0.6,1,Y
IDCJAC0011,12045,1957,08,09,2.8,1,Y
IDCJAC0011,12045,1957,08,10,8.3,1,Y
IDCJAC0011,12045,1957,08,11,8.3,1,Y
IDCJAC0011,12045,1957,08,12,8.3,1,Y
IDCJAC0011,12045,1957,08,13,4.4,1,Y
IDCJAC0011,12045,1957,08,14,4.4,1,Y
IDCJAC0011,12045,1957,08,15,8.3,1,Y
IDCJAC0011,12045,1957,08,16,8.3,1,Y
IDCJAC0011,12045,1957,08,17,7.2,1,Y
IDCJAC0011,12045,1957,08,18,8.3,1,Y
IDCJAC0011,12045,1957,08,19,5.0,1,Y
IDCJAC0011,12045,1957,08,20,1.1,1,Y
IDCJAC0011,12045,1957,08,21,1.7,1,Y
IDCJAC0011,12045,1957,08,22,6.7,1,Y
IDCJAC0011,12045,1957,08,23,11.1,1,Y
IDCJAC0011,12045,1957,08,24,10.0,1,Y
IDCJAC0011,12045,1957,08,25,5.6,1,Y
IDCJAC0011,12045,1957,08,26,8.9,1,Y
IDCJAC0011,12045,1957,08,27,10.6,1,Y
IDCJAC0011,12045,1957,08,28,15.6,1,Y
IDCJAC0011,12045,1957,08,29,14.4,1,Y
IDCJAC0011,12045,1957,08,30,7.2,1,Y
IDCJAC0011,12045,1957,08,31,7.2,1,Y
IDCJAC0011,12045,1957,09,01,15.0,1,Y
IDCJAC0011,12045,1957,09,02,7.8,1,Y
IDCJAC0011,12045,1957,09,03,8.9,1,Y
IDCJAC0011,12045,1957,09,04,11.1,1,Y
IDCJAC0011,12045,1957,09,05,5.0,1,Y
IDCJAC0011,12045,1957,09,06,1.1,1,Y
IDCJAC0011,12045,1957,09,07,5.0,1,Y
IDCJAC0011,12045,1957,09,08,7.8,1,Y
IDCJAC0011,12045,1957,09,09,6.1,1,Y
IDCJAC0011,12045,1957,09,10,11.7,1,Y
IDCJAC0011,12045,1957,09,11,11.7,1,Y
IDCJAC0011,12045,1957,09,12,12.2,1,Y
IDCJAC0011,12045,1957,09,13,12.8,1,Y
IDCJAC0011,12045,1957,09,14,5.6,1,Y
IDCJAC0011,12045,1957,09,15,6.1,1,Y
IDCJAC0011,12045,1957,09,16,6.7,1,Y
IDCJAC0011,12045,1957,09,17,11.1,1,Y
IDCJAC0011,12045,1957,09,18,10.0,1,Y
IDCJAC0011,12045,1957,09,19,11.7,1,Y
IDCJAC0011,12045,1957,09,20,13.3,1,Y
IDCJAC0011,12045,1957,09,21,7.2,1,Y
IDCJAC0011,12045,1957,09,22,10.0,1,Y
IDCJAC0011,12045,1957,09,23,12.8,1,Y
IDCJAC0011,12045,1957,09,24,12.2,1,Y
IDCJAC0011,12045,1957,09,25,10.0,1,Y
IDCJAC0011,12045,1957,09,26,11.1,1,Y
IDCJAC0011,12045,1957,09,27,12.2,1,Y
IDCJAC0011,12045,1957,09,28,15.6,1,Y
IDCJAC0011,12045,1957,09,29,17.8,1,Y
IDCJAC0011,12045,1957,09,30,12.8,1,Y
IDCJAC0011,12045,1957,10,01,8.3,1,Y
IDCJAC0011,12045,1957,10,02,2.8,1,Y
IDCJAC0011,12045,1957,10,03,18.9,1,Y
IDCJAC0011,12045,1957,10,04,13.3,1,Y
IDCJAC0011,12045,1957,10,05,12.8,1,Y
IDCJAC0011,12045,1957,10,06,12.2,1,Y
IDCJAC0011,12045,1957,10,07,17.2,1,Y
IDCJAC0011,12045,1957,10,08,16.7,1,Y
IDCJAC0011,12045,1957,10,09,17.8,1,Y
IDCJAC0011,12045,1957,10,10,11.7,1,Y
IDCJAC0011,12045,1957,10,11,11.1,1,Y
IDCJAC0011,12045,1957,10,12,12.2,1,Y
IDCJAC0011,12045,1957,10,13,11.1,1,Y
IDCJAC0011,12045,1957,10,14,14.4,1,Y
IDCJAC0011,12045,1957,10,15,16.7,1,Y
IDCJAC0011,12045,1957,10,16,15.0,1,Y
IDCJAC0011,12045,1957,10,17,16.7,1,Y
IDCJAC0011,12045,1957,10,18,15.0,1,Y
IDCJAC0011,12045,1957,10,19,19.4,1,Y
