,number,note_book,Site,Genus_species,datetime2,DEP,BT,TC_interp,TC,AT,TA_interp,TA1m,wt,svl,diff_TC,diff_TA,Error,Remove,Notes
5578,20663,7.Kalahari-LC-FieldBook-18528-19938.pdf,KLT,Pedioplanis lineoocellata,##########,0,34.5,35.63,35.655083,22.8,24.03,24.0407472,2.2,46,-1.1,-1.2,,,
3463,19842,7.Kalahari-LC-FieldBook-18528-19938.pdf,KLT,Pedioplanis lineoocellata,##########,0,34.5,35.43,35.3282442,28.9,28.73,28.6984422,0.7,31,-0.9,0.2,,,
1216,17360,6.Kalahari-RBH-FieldBook-18494-19947.pdf,KLT,Pedioplanis lineoocellata,##########,0,35.4,36.19,36.2286108,28.6,29.27,29.310464,6,62,-0.8,-0.7,,,
5580,20664,7.Kalahari-LC-FieldBook-18528-19938.pdf,KLT,Pedioplanis lineoocellata,##########,0,34.8,35.63,35.655083,22.8,24.03,24.0407472,1.6,40,-0.8,-1.2,,,
6691,21399,6.Kalahari-RBH-FieldBook-18494-19947.pdf,KLT,Pedioplanis lineoocellata,##########,0,35.7,36.33,35.8129256,30.4,33.37,32.3348867,6.2,66,-0.6,-3,,,
1299,17761,6.Kalahari-RBH-FieldBook-18494-19947.pdf,KLT,Pedioplanis lineoocellata,##########,0,35.4,35.85,36.0843762,29,29.92,30.4661752,5,59,-0.5,-0.9,,,
1220,17447,7.Kalahari-LC-FieldBook-18528-19938.pdf,KLT,Pedioplanis lineoocellata,##########,0,35.8,36.09,36.0779047,31.1,31.27,31.4925564,6.2,60,-0.3,-0.2,,,
5528,20606,7.Kalahari-LC-FieldBook-18528-19938.pdf,KLT,Pedioplanis lineoocellata,##########,0,36,36.12,36.1192132,26.4,27.32,27.4054506,1.5,39,-0.1,-0.9,,,
6476,21185,6.Kalahari-RBH-FieldBook-18494-19947.pdf,KLT,Pedioplanis lineoocellata,##########,0,35.1,35.17,34.1287173,30.1,28.04,27.4645562,2.8,48,-0.1,2.1,,,
1219,17461,7.Kalahari-LC-FieldBook-18528-19938.pdf,KLT,Pedioplanis lineoocellata,##########,0,36.3,36.05,36.0779047,30.6,31.96,31.4925564,5,65,0.2,-1.4,,,
6501,21225,6.Kalahari-RBH-FieldBook-18494-19947.pdf,KLT,Pedioplanis lineoocellata,##########,0,36.2,35.76,35.7396911,25.9,28.92,28.6513965,2.8,51,0.4,-3,,,
6690,21394,6.Kalahari-RBH-FieldBook-18494-19947.pdf,KLT,Pedioplanis lineoocellata,##########,0,36.4,35.9,35.8129256,28.6,31.3,32.3348867,5,61,0.5,-2.7,,,
1217,17412,7.Kalahari-LC-FieldBook-18528-19938.pdf,KLT,Pedioplanis lineoocellata,##########,0,37,36.23,36.2286108,28.6,29.35,29.310464,6.2,65,0.8,-0.8,,,
6500,21231,6.Kalahari-RBH-FieldBook-18494-19947.pdf,KLT,Pedioplanis lineoocellata,##########,0,36.7,35.8,35.7396911,25.3,28.51,28.6513965,2.5,49,0.9,-3.2,,,
6502,21237,6.Kalahari-RBH-FieldBook-18494-19947.pdf,KLT,Pedioplanis lineoocellata,##########,0,36.8,35.94,35.9776315,26.4,28.15,28.055515,3.4,52,0.9,-1.8,,,
6692,21392,6.Kalahari-RBH-FieldBook-18494-19947.pdf,KLT,Pedioplanis lineoocellata,##########,0,36.9,35.95,35.8129256,28.1,30.78,32.3348867,2.3,48,0.9,-2.7,,,
6693,21398,6.Kalahari-RBH-FieldBook-18494-19947.pdf,KLT,Pedioplanis lineoocellata,##########,0,37.1,36.22,35.8129256,30.7,33.15,32.3348867,5.8,63,0.9,-2.4,,,
1252,17595,6.Kalahari-RBH-FieldBook-18494-19947.pdf,KLT,Pedioplanis lineoocellata,##########,0,38.9,37.86,38.455592,33.7,36.5,37.0171151,5.5,60,1,-2.8,,,
5529,20614,7.Kalahari-LC-FieldBook-18528-19938.pdf,KLT,Pedioplanis lineoocellata,##########,0,36.4,35.36,35.3431515,26.7,27.33,27.3247449,2.9,47,1,-0.6,,,
1246,17583,6.Kalahari-RBH-FieldBook-18494-19947.pdf,KLT,Pedioplanis lineoocellata,##########,0,36.7,35.61,35.6113718,31.9,32.54,32.5415485,6.5,61,1.1,-0.6,,,
1218,17449,7.Kalahari-LC-FieldBook-18528-19938.pdf,KLT,Pedioplanis lineoocellata,##########,0,37.3,36.07,36.0779047,31.8,31.68,31.4925564,6.7,65,1.2,0.1,,,
5527,20602,6.Kalahari-RBH-FieldBook-18494-19947.pdf,KLT,Pedioplanis lineoocellata,##########,0,37.4,36.11,36.1074253,25.4,27.09,27.065291,2.4,44,1.3,-1.7,,,
6449,21127,6.Kalahari-RBH-FieldBook-18494-19947.pdf,KLT,Pedioplanis lineoocellata,##########,0,37.1,35.77,36.1623522,30.4,28.56,28.5771843,2.9,48,1.3,1.8,,,
1275,17637,6.Kalahari-RBH-FieldBook-18494-19947.pdf,KLT,Pedioplanis lineoocellata,##########,0,36.7,35.35,35.3927547,28.1,29.86,29.7785377,4.7,58,1.4,-1.8,,,
5531,20624,7.Kalahari-LC-FieldBook-18528-19938.pdf,KLT,Pedioplanis lineoocellata,##########,0,37.3,35.91,36.1317117,26.3,27.06,26.9511654,2.3,43,1.4,-0.8,,,
6697,21414,6.Kalahari-RBH-FieldBook-18494-19947.pdf,KLT,Pedioplanis lineoocellata,##########,0,40.1,38.75,38.910227,35.5,37.14,37.2251862,2.7,50,1.4,-1.6,,,
6469,21170,6.Kalahari-RBH-FieldBook-18494-19947.pdf,KLT,Pedioplanis lineoocellata,##########,0,37.4,35.76,35.7177122,29,31.48,31.5423865,2.8,48,1.6,-2.5,,,
6499,21232,6.Kalahari-RBH-FieldBook-18494-19947.pdf,KLT,Pedioplanis lineoocellata,##########,0,37.5,35.82,35.7396911,25.6,28.46,28.6513965,3.3,50,1.7,-2.9,,,
6695,21396,6.Kalahari-RBH-FieldBook-18494-19947.pdf,KLT,Pedioplanis lineoocellata,##########,0,37.6,35.92,35.8129256,29.7,32.56,32.3348867,2.6,49,1.7,-2.9,,,
157,16017,6.Kalahari-RBH-FieldBook-18494-19947.pdf,KLT,Pedioplanis lineoocellata,##########,0,38.1,36.26,36.2808131,35,34.92,35.1060732,NA,60,1.8,0.1,,,
1215,17413,7.Kalahari-LC-FieldBook-18528-19938.pdf,KLT,Pedioplanis lineoocellata,##########,0,38,36.21,36.2286108,28.7,29.53,29.310464,5.5,58,1.8,-0.8,,,
1274,17730,6.Kalahari-RBH-FieldBook-18494-19947.pdf,KLT,Pedioplanis lineoocellata,##########,0,34.5,32.75,31.8642269,26.4,27.95,27.3442272,5,58,1.8,-1.6,,,
5555,20642,7.Kalahari-LC-FieldBook-18528-19938.pdf,KLT,Pedioplanis lineoocellata,##########,0,35.9,34.12,33.7765618,25.8,25.96,25.9167574,2.4,44,1.8,-0.2,,,
6694,21393,6.Kalahari-RBH-FieldBook-18494-19947.pdf,KLT,Pedioplanis lineoocellata,##########,0,37.7,35.93,35.8129256,28.7,30.97,32.3348867,2.2,45,1.8,-2.3,,,
6497,21230,6.Kalahari-RBH-FieldBook-18494-19947.pdf,KLT,Pedioplanis lineoocellata,##########,0,37.7,35.78,35.7396911,26.6,28.54,28.6513965,2.2,48,1.9,-1.9,,,
155,16013,7.Kalahari-LC-FieldBook-18528-19938.pdf,KLT,Pedioplanis lineoocellata,##########,0,38,36.02,36.0492077,30.9,32.91,33.4571442,NA,64,2,-2,,,
5556,20641,7.Kalahari-LC-FieldBook-18528-19938.pdf,KLT,Pedioplanis lineoocellata,##########,0,36.3,34.24,33.7765618,26.7,25.97,25.9167574,3,50,2.1,0.7,,,
156,15974,7.Kalahari-LC-FieldBook-18528-19938.pdf,KLT,Pedioplanis lineoocellata,##########,0,38.5,36.16,36.1760771,32.8,34.14,34.2250756,NA,65,2.3,-1.3,,,
1244,17560,7.Kalahari-LC-FieldBook-18528-19938.pdf,KLT,Pedioplanis lineoocellata,##########,0,38.2,35.9,35.6113718,31.3,31.57,32.5415485,5.5,60,2.3,-0.3,,,
1247,17567,6.Kalahari-RBH-FieldBook-18494-19947.pdf,KLT,Pedioplanis lineoocellata,##########,0,38.6,36.3,35.6113718,31.7,33.97,32.5415485,6,62,2.3,-2.3,,,
154,15967,7.Kalahari-LC-FieldBook-18528-19938.pdf,KLT,Pedioplanis lineoocellata,##########,0,38.4,36.02,36.0492077,31.4,32.86,33.4571442,NA,65,2.4,-1.5,,,
1250,17564,6.Kalahari-RBH-FieldBook-18494-19947.pdf,KLT,Pedioplanis lineoocellata,##########,0,38.5,36.08,35.6113718,31.5,33.51,32.5415485,6.2,63,2.4,-2,,,
5579,20654,7.Kalahari-LC-FieldBook-18528-19938.pdf,KLT,Pedioplanis lineoocellata,##########,0,38.3,35.77,35.655083,20.4,23.97,24.0407472,1.7,41,2.5,-3.6,,,
6470,21172,6.Kalahari-RBH-FieldBook-18494-19947.pdf,KLT,Pedioplanis lineoocellata,##########,0,38.2,35.73,35.7177122,30,31.56,31.5423865,2.4,46,2.5,-1.6,,,
6503,21236,6.Kalahari-RBH-FieldBook-18494-19947.pdf,KLT,Pedioplanis lineoocellata,##########,0,38.6,35.87,35.9776315,27.3,28.31,28.055515,2.7,48,2.7,-1,,,
1276,17683,6.Kalahari-RBH-FieldBook-18494-19947.pdf,KLT,Pedioplanis lineoocellata,##########,0,37.1,34.26,33.9768729,30.8,31.68,32.1505447,6,64,2.8,-0.9,,,
2550,18872,6.Kalahari-RBH-FieldBook-18494-19947.pdf,KLT,Pedioplanis lineoocellata,##########,0,38.8,36.02,36.0269311,29.9,30.89,30.8991148,6.7,63,2.8,-1,,,
2599,18983,6.Kalahari-RBH-FieldBook-18494-19947.pdf,KLT,Pedioplanis lineoocellata,##########,0,36.9,34.09,33.7929838,29.4,26.24,26.1651135,4,62,2.8,3.2,,,
1253,17598,6.Kalahari-RBH-FieldBook-18494-19947.pdf,KLT,Pedioplanis lineoocellata,##########,0,41,38.12,38.455592,34,36.72,37.0171151,6,66,2.9,-2.7,,,
1300,17719,6.Kalahari-RBH-FieldBook-18494-19947.pdf,KLT,Pedioplanis lineoocellata,##########,0,39,35.9,35.6637733,31.6,33.53,32.9076861,4,59,3.1,-1.9,,,
6471,21177,6.Kalahari-RBH-FieldBook-18494-19947.pdf,KLT,Pedioplanis lineoocellata,##########,0,38.9,35.79,35.8257779,31.1,31.72,31.8099801,3,54,3.1,-0.6,,,
1199,17380,7.Kalahari-LC-FieldBook-18528-19938.pdf,KLT,Pedioplanis lineoocellata,##########,0,34.5,31.29,28.8803999,32.1,32.11,31.3695533,5.5,61,3.2,0,,,
161,15978,7.Kalahari-LC-FieldBook-18528-19938.pdf,KLT,Pedioplanis lineoocellata,##########,0,39.5,36.2,36.1904214,36.5,36.28,36.0365598,NA,60,3.3,0.2,,,
5557,20639,7.Kalahari-LC-FieldBook-18528-19938.pdf,KLT,Pedioplanis lineoocellata,##########,0,37.8,34.47,33.7765618,26.4,26,25.9167574,2.1,41,3.3,0.4,,,
153,15970,7.Kalahari-LC-FieldBook-18528-19938.pdf,KLT,Pedioplanis lineoocellata,##########,0,39.5,36,35.9670408,30.5,32.53,31.8246505,NA,62,3.5,-2,,,
4689,20301,6.Kalahari-RBH-FieldBook-18494-19947.pdf,KLT,Pedioplanis lineoocellata,##########,0,34.4,30.63,31.9944423,20,20.02,20.1730184,0.7,43,3.8,0,,,
1248,17540,7.Kalahari-LC-FieldBook-18528-19938.pdf,KLT,Pedioplanis lineoocellata,##########,0,39.5,35.64,35.6113718,30.9,32.6,32.5415485,5.2,61,3.9,-1.7,,,
1227,17495,7.Kalahari-LC-FieldBook-18528-19938.pdf,KLT,Pedioplanis lineoocellata,##########,0,39.9,35.94,36.1758178,36.8,34.05,34.1794808,6.7,60,4,2.8,,,
1249,17586,6.Kalahari-RBH-FieldBook-18494-19947.pdf,KLT,Pedioplanis lineoocellata,##########,0,40,36.02,35.6113718,32.4,33.4,32.5415485,4.7,62,4,-1,,,
1261,17623,6.Kalahari-RBH-FieldBook-18494-19947.pdf,KLT,Pedioplanis lineoocellata,##########,0,34.7,30.67,30.5890452,33.4,31.05,31.0179837,6.5,62,4,2.3,,,
6472,21178,6.Kalahari-RBH-FieldBook-18494-19947.pdf,KLT,Pedioplanis lineoocellata,##########,0,39.9,35.79,35.8257779,31.1,31.73,31.8099801,4.8,61,4.1,-0.6,,,
1245,17581,6.Kalahari-RBH-FieldBook-18494-19947.pdf,KLT,Pedioplanis lineoocellata,##########,0,39.9,35.66,35.6113718,31.6,32.38,32.5415485,7,65,4.2,-0.8,,,
548,16190,6.Kalahari-RBH-FieldBook-18494-19947.pdf,KLT,Pedioplanis lineoocellata,##########,0,36,31.38,33.2951694,34.4,32.47,32.9518062,6.5,64,4.6,1.9,,,
1222,17493,7.Kalahari-LC-FieldBook-18528-19938.pdf,KLT,Pedioplanis lineoocellata,##########,0,40.6,36,35.8556743,34.2,35.68,35.6090105,5.5,60,4.6,-1.5,,,
547,16251,6.Kalahari-RBH-FieldBook-18494-19947.pdf,KLT,Pedioplanis lineoocellata,##########,0,36.4,31.46,33.2951694,35,32.49,32.9518062,5,63,4.9,2.5,,,
138,15946,6.Kalahari-RBH-FieldBook-18494-19947.pdf,KLT,Pedioplanis lineoocellata,##########,0,38.5,32.97,34.1602427,36.8,31.97,32.3420586,NA,61,5.5,4.8,,,
538,16184,6.Kalahari-RBH-FieldBook-18494-19947.pdf,KLT,Pedioplanis lineoocellata,##########,0,38.4,32.7,32.6001995,31.4,32.23,32.1579915,4.2,55,5.7,-0.8,,,
549,16189,6.Kalahari-RBH-FieldBook-18494-19947.pdf,KLT,Pedioplanis lineoocellata,##########,0,38.4,32.16,33.2951694,34.7,32.67,32.9518062,5.7,61,6.2,2,,,
1260,17603,6.Kalahari-RBH-FieldBook-18494-19947.pdf,KLT,Pedioplanis lineoocellata,##########,0,36.9,30.67,30.5890452,33.5,31.05,31.0179837,6,63,6.2,2.4,,,
550,16204,6.Kalahari-RBH-FieldBook-18494-19947.pdf,KLT,Pedioplanis lineoocellata,##########,0,35.6,28.5,28.0612836,33.5,31.74,31.6320845,5.2,65,7.1,1.8,,,
573,16238,6.Kalahari-RBH-FieldBook-18494-19947.pdf,KLT,Pedioplanis lineoocellata,##########,0,38,30.75,31.2623694,34.5,31.98,31.9995588,5,60,7.2,2.5,,,
574,16229,6.Kalahari-RBH-FieldBook-18494-19947.pdf,KLT,Pedioplanis lineoocellata,##########,0,38.6,30.7,31.2623694,34.5,31.97,31.9995588,4.5,59,7.9,2.5,,,
576,16240,6.Kalahari-RBH-FieldBook-18494-19947.pdf,KLT,Pedioplanis lineoocellata,##########,0,38,29.64,28.2144293,34.2,31.93,31.8598836,5.5,63,8.4,2.3,,,
575,16294,6.Kalahari-RBH-FieldBook-18494-19947.pdf,KLT,Pedioplanis lineoocellata,##########,0,38.7,29.69,28.2144293,34.6,31.93,31.8598836,5,61,9,2.7,,,
720,16495,7.Kalahari-LC-FieldBook-18528-19938.pdf,KLA,Pedioplanis lineoocellata,30/1/1970 08:20,0,25.6,33.7,32.5491388,29.4,28.2,27.42504658,4.5,60,-8.1,1.2,,,
4442,19985,6.Kalahari-RBH-FieldBook-18494-19947.pdf,KLA,Pedioplanis lineoocellata,3/7/1970 11:49,0,29.5,35.5,35.69733275,19,23.32,23.46382704,0.7,37,-6,-4.3,,,
4441,20008,6.Kalahari-RBH-FieldBook-18494-19947.pdf,KLA,Pedioplanis lineoocellata,3/7/1970 11:55,0,30.2,35.61,35.69733275,20.2,23.4,23.46382704,1,38,-5.4,-3.2,,,
3500,19956,7.Kalahari-LC-FieldBook-18528-19938.pdf,KLA,Pedioplanis lineoocellata,25/5/1970 11:13,0,31.9,35.4,35.28063616,16.6,23.64,23.48602957,0.7,36,-3.5,-7,,,
6347,20959,6.Kalahari-RBH-FieldBook-18494-19947.pdf,KLA,Pedioplanis lineoocellata,20/9/1970 11:52,0,36.4,39.48,39.5904165,32.3,35.34,35.46914305,5.2,59,-3.1,-3,,,
5192,20393,7.Kalahari-LC-FieldBook-18528-19938.pdf,KLA,Pedioplanis lineoocellata,3/8/1970 15:08,0,28,30.66,31.70891874,15,14.31,14.35537306,0.5,36,-2.7,0.7,,,
6408,21011,6.Kalahari-RBH-FieldBook-18494-19947.pdf,KLA,Pedioplanis lineoocellata,22/9/1970 10:15,0,33.8,35.86,35.3101622,30.3,31.78,30.48988082,1.7,41,-2.1,-1.5,,,
6348,20960,6.Kalahari-RBH-FieldBook-18494-19947.pdf,KLA,Pedioplanis lineoocellata,20/9/1970 11:59,0,37.6,39.58,39.5904165,31.7,35.45,35.46914305,1.8,40,-2,-3.8,,,
693,16462,7.Kalahari-LC-FieldBook-18528-19938.pdf,KLA,Pedioplanis lineoocellata,29/1/1970 10:28,0,36.7,38.61,38.32276269,34.1,37.03,34.77433621,6,60,-1.9,-2.9,,,
690,16454,7.Kalahari-LC-FieldBook-18528-19938.pdf,KLA,Pedioplanis lineoocellata,29/1/1970 09:00,0,34.1,35.89,35.88826481,30.1,32.09,32.09267412,6,68,-1.8,-2,,,
6407,21005,6.Kalahari-RBH-FieldBook-18494-19947.pdf,KLA,Pedioplanis lineoocellata,22/9/1970 09:25,0,33.6,35.28,35.2567589,26.6,27.77,25.8221508,1.4,42,-1.7,-1.2,,,
694,16467,7.Kalahari-LC-FieldBook-18528-19938.pdf,KLA,Pedioplanis lineoocellata,29/1/1970 11:17,-2.5,38.2,39.78,38.94883052,35.4,39.88,39.60651436,4.5,62,-1.6,-4.5,,,
2272,18610,6.Kalahari-RBH-FieldBook-18494-19947.pdf,KLA,Pedioplanis lineoocellata,4/4/1970 11:18,0,34.4,36.01,35.76755531,31.3,34.75,34.50556676,5.5,61,-1.6,-3.4,,,
5190,20383,7.Kalahari-LC-FieldBook-18528-19938.pdf,KLA,Pedioplanis lineoocellata,3/8/1970 13:35,0,34.3,35.82,36.16471067,13.5,14.61,14.58095438,1.3,41,-1.5,-1.1,,,
6346,20956,6.Kalahari-RBH-FieldBook-18494-19947.pdf,KLA,Pedioplanis lineoocellata,20/9/1970 11:25,0,37.7,39.1,38.75495908,30.5,34.9,34.49090918,5,59,-1.4,-4.4,,,
5215,20409,7.Kalahari-LC-FieldBook-18528-19938.pdf,KLA,Pedioplanis lineoocellata,4/8/1970 13:00,0,34.6,35.93,35.92610695,16,19.61,19.61137648,0.5,36,-1.3,-3.6,,,
695,16465,7.Kalahari-LC-FieldBook-18528-19938.pdf,KLA,Pedioplanis lineoocellata,29/1/1970 10:50,-2.5,37.6,38.84,38.94883052,34.4,38.8,39.60651436,6.2,65,-1.2,-4.4,,,
2220,18507,6.Kalahari-RBH-FieldBook-18494-19947.pdf,KLA,Pedioplanis lineoocellata,2/4/1970 10:25,0,34.7,35.78,35.55344168,31.4,31.86,30.9798044,0.3,24,-1.1,-0.5,,,
4418,19971,7.Kalahari-LC-FieldBook-18528-19938.pdf,KLA,Pedioplanis lineoocellata,2/7/1970 12:36,0,34.6,35.38,35.30015239,22,21.33,21.34468636,1.3,37,-0.8,0.7,,,
691,16460,7.Kalahari-LC-FieldBook-18528-19938.pdf,KLA,Pedioplanis lineoocellata,29/1/1970 10:17,0,37.8,38.5,38.32276269,33.4,36.14,34.77433621,3.7,58,-0.7,-2.7,,,
4415,19960,7.Kalahari-LC-FieldBook-18528-19938.pdf,KLA,Pedioplanis lineoocellata,2/7/1970 12:15,0,34.8,35.45,35.50017017,18.2,21.33,21.31957114,1.5,40,-0.7,-3.1,,,
6411,21014,6.Kalahari-RBH-FieldBook-18494-19947.pdf,KLA,Pedioplanis lineoocellata,22/9/1970 10:47,0,36.3,37.02,37.49468945,31.2,34.54,35.6543399,1.4,40,-0.7,-3.3,,,
5191,20385,7.Kalahari-LC-FieldBook-18528-19938.pdf,KLA,Pedioplanis lineoocellata,3/8/1970 13:50,0,35.5,36.03,36.16471067,13.3,14.59,14.58095438,0.5,35,-0.5,-1.3,,,
2223,18541,6.Kalahari-RBH-FieldBook-18494-19947.pdf,KLA,Pedioplanis lineoocellata,2/4/1970 11:21,0,35.6,35.96,36.08693999,34.2,33.32,33.09920393,5.5,66,-0.4,0.9,,,
6406,21004,6.Kalahari-RBH-FieldBook-18494-19947.pdf,KLA,Pedioplanis lineoocellata,22/9/1970 09:13,0,34.9,35.27,35.2567589,26.8,26.83,25.8221508,1.4,41,-0.4,0,,,
1740,18505,6.Kalahari-RBH-FieldBook-18494-19947.pdf,KLA,Pedioplanis lineoocellata,13/3/1970 10:08,0,36.1,36.17,36.16425453,31.3,29.14,28.6641603,4.7,64,-0.1,2.2,,,
46,15829,6.Kalahari-RBH-FieldBook-18494-19947.pdf,KLA,Pedioplanis lineoocellata,2/1/1970 14:19,0,36.9,36.76,37.17361814,33,33.44,33.52230656,NA,56,0.1,-0.4,,,
45,15838,6.Kalahari-RBH-FieldBook-18494-19947.pdf,KLA,Pedioplanis lineoocellata,2/1/1970 13:02,0,38,37.71,37.72456789,30.2,33.25,33.23631872,NA,59,0.3,-3.1,,,
4446,20009,6.Kalahari-RBH-FieldBook-18494-19947.pdf,KLA,Pedioplanis lineoocellata,3/7/1970 13:55,0,34.2,33.92,33.8220897,23.3,24.26,24.28679576,0.7,30,0.3,-1,,,
2276,18645,7.Kalahari-LC-FieldBook-18528-19938.pdf,KLA,Pedioplanis lineoocellata,4/4/1970 11:52,0,37.1,36.48,36.58953451,32,35.22,35.33549033,5.2,64,0.6,-3.2,,,
6323,20940,6.Kalahari-RBH-FieldBook-18494-19947.pdf,KLA,Pedioplanis lineoocellata,19/9/1970 14:38,0,36.4,35.55,35.39177396,29.5,29.32,29.26221117,2,43,0.9,0.2,,,
6358,20976,6.Kalahari-RBH-FieldBook-18494-19947.pdf,KLA,Pedioplanis lineoocellata,20/9/1970 15:35,0,36.9,35.93,35.92723985,34.2,32.82,31.52294784,1.7,44,1,1.4,,,
4416,19964,7.Kalahari-LC-FieldBook-18528-19938.pdf,KLA,Pedioplanis lineoocellata,2/7/1970 11:42,0,30.4,29.26,35.50017017,18.1,20.97,21.31957114,1.2,39,1.1,-2.9,,,
6360,20977,6.Kalahari-RBH-FieldBook-18494-19947.pdf,KLA,Pedioplanis lineoocellata,20/9/1970 15:40,0,37.1,35.93,35.92723985,36.3,32.56,31.52294784,1.4,41,1.2,3.7,,,
728,16525,6.Kalahari-RBH-FieldBook-18494-19947.pdf,KLA,Pedioplanis lineoocellata,30/1/1970 10:51,0,37.2,35.86,35.87610166,34.4,33.71,34.12534632,4,58,1.3,0.7,,,
2271,18609,6.Kalahari-RBH-FieldBook-18494-19947.pdf,KLA,Pedioplanis lineoocellata,4/4/1970 11:13,0,37.3,35.95,35.76755531,31.4,34.69,34.50556676,4.2,58,1.3,-3.3,,,
692,16457,7.Kalahari-LC-FieldBook-18528-19938.pdf,KLA,Pedioplanis lineoocellata,29/1/1970 09:38,0,38.8,37.43,38.32276269,32.6,33.79,34.77433621,4.5,61,1.4,-1.2,,,
724,16520,6.Kalahari-RBH-FieldBook-18494-19947.pdf,KLA,Pedioplanis lineoocellata,30/1/1970 09:25,0,37.3,35.91,35.99150216,31.4,30.42,29.74732505,4,57,1.4,1,,,
2273,18648,7.Kalahari-LC-FieldBook-18528-19938.pdf,KLA,Pedioplanis lineoocellata,4/4/1970 12:14,0,38,36.6,36.58953451,33,35.36,35.33549033,5,60,1.4,-2.4,,,
4414,19968,7.Kalahari-LC-FieldBook-18528-19938.pdf,KLA,Pedioplanis lineoocellata,2/7/1970 12:25,0,36.8,35.42,35.50017017,17.4,21.33,21.31957114,1.2,36,1.4,-3.9,,,
6325,20939,6.Kalahari-RBH-FieldBook-18494-19947.pdf,KLA,Pedioplanis lineoocellata,19/9/1970 14:35,0,37.1,35.57,35.39177396,28.3,29.33,29.26221117,1.6,40,1.5,-1,,,
49,15846,7.Kalahari-LC-FieldBook-18528-19938.pdf,KLA,Pedioplanis lineoocellata,2/1/1970 16:50,0,37.6,35.99,35.95303366,33.4,32.64,32.46815336,NA,64,1.6,0.8,,,
722,16517,6.Kalahari-RBH-FieldBook-18494-19947.pdf,KLA,Pedioplanis lineoocellata,30/1/1970 08:38,0,36.3,34.73,35.99150216,30.1,28.9,29.74732505,5.2,64,1.6,1.2,,,
42,15841,6.Kalahari-RBH-FieldBook-18494-19947.pdf,KLA,Pedioplanis lineoocellata,2/1/1970 13:29,0,39.2,37.46,37.72456789,34,33.37,33.23631872,NA,55,1.7,0.6,,,
725,16519,6.Kalahari-RBH-FieldBook-18494-19947.pdf,KLA,Pedioplanis lineoocellata,30/1/1970 09:10,0,37.7,35.96,35.99150216,30.9,30.02,29.74732505,4.5,57,1.7,0.9,,,
2274,18649,7.Kalahari-LC-FieldBook-18528-19938.pdf,KLA,Pedioplanis lineoocellata,4/4/1970 12:28,0,38.3,36.62,36.58953451,34.2,35.38,35.33549033,5,61,1.7,-1.2,,,
6353,20970,6.Kalahari-RBH-FieldBook-18494-19947.pdf,KLA,Pedioplanis lineoocellata,20/9/1970 14:15,0,37.8,36.11,36.1702698,34.8,34.85,34.91204998,2,43,1.7,-0.1,,,
6410,21015,6.Kalahari-RBH-FieldBook-18494-19947.pdf,KLA,Pedioplanis lineoocellata,22/9/1970 10:58,0,39.1,37.42,37.49468945,31.8,35.48,35.6543399,1.4,41,1.7,-3.7,,,
15,15793,6.Kalahari-RBH-FieldBook-18494-19947.pdf,KLA,Pedioplanis lineoocellata,1/1/1970 15:14,0,38,36.1,36.08426503,34.2,32.44,32.47037594,NA,61,1.9,1.8,,,
6388,20996,6.Kalahari-RBH-FieldBook-18494-19947.pdf,KLA,Pedioplanis lineoocellata,21/9/1970 15:47,0,37.9,36,35.98138435,35.2,34.6,34.4007754,1.2,39,1.9,0.6,,,
17,15778,6.Kalahari-RBH-FieldBook-18494-19947.pdf,KLA,Pedioplanis lineoocellata,1/1/1970 15:23,0,38.1,36.12,36.08426503,33.9,32.42,32.47037594,NA,61,2,1.5,,,
43,15839,6.Kalahari-RBH-FieldBook-18494-19947.pdf,KLA,Pedioplanis lineoocellata,2/1/1970 13:14,0,39.6,37.6,37.72456789,33.4,33.3,33.23631872,NA,59,2,0.1,,,
6354,20974,6.Kalahari-RBH-FieldBook-18494-19947.pdf,KLA,Pedioplanis lineoocellata,20/9/1970 15:25,0,37.9,35.93,35.93884194,35,33.34,34.64625196,1.9,44,2,1.7,,,
6384,20995,6.Kalahari-RBH-FieldBook-18494-19947.pdf,KLA,Pedioplanis lineoocellata,21/9/1970 15:44,0,38,36,35.98138435,35.4,34.65,34.4007754,4.9,62,2,0.8,,,
2275,18643,6.Kalahari-RBH-FieldBook-18494-19947.pdf,KLA,Pedioplanis lineoocellata,4/4/1970 11:40,0,38.4,36.32,36.58953451,32.2,35.06,35.33549033,3.7,60,2.1,-2.9,,,
6324,20941,6.Kalahari-RBH-FieldBook-18494-19947.pdf,KLA,Pedioplanis lineoocellata,19/9/1970 14:48,0,37.6,35.48,35.39177396,28.4,29.29,29.26221117,2.4,43,2.1,-0.9,,,
6357,20981,6.Kalahari-RBH-FieldBook-18494-19947.pdf,KLA,Pedioplanis lineoocellata,20/9/1970 15:58,0,38.1,35.93,35.92723985,36.1,31.63,31.52294784,1.8,46,2.2,4.5,,,
44,15840,6.Kalahari-RBH-FieldBook-18494-19947.pdf,KLA,Pedioplanis lineoocellata,2/1/1970 13:24,0,39.8,37.5,37.72456789,32.6,33.35,33.23631872,NA,60,2.3,-0.8,,,
718,16516,7.Kalahari-LC-FieldBook-18528-19938.pdf,KLA,Pedioplanis lineoocellata,30/1/1970 07:51,0,35.1,32.83,32.5491388,28.6,27.12,27.42504658,4.5,62,2.3,1.5,,,
