ClimNo,StasName,Latitude,Longitude,DateT,Rain(mm),Mx,Mn
0317474 1,UPINGTON - WK,-28.40,21.27,1969-01-01,0.00,39.60,15.90
0317474 1,UPINGTON - WK,-28.40,21.27,1969-01-02,0.00,38.90,22.40
0317474 1,UPINGTON - WK,-28.40,21.27,1969-01-03,0.00,36.60,18.60
0317474 1,UPINGTON - WK,-28.40,21.27,1969-01-04,0.00,37.80,16.20
0317474 1,UPINGTON - WK,-28.40,21.27,1969-01-05,0.00,41.40,20.50
0317474 1,UPINGTON - WK,-28.40,21.27,1969-01-06,0.00,39.50,21.90
0317474 1,UPINGTON - WK,-28.40,21.27,1969-01-07,0.00,39.20,21.40
0317474 1,UPINGTON - WK,-28.40,21.27,1969-01-08,0.00,37.30,22.90
0317474 1,UPINGTON - WK,-28.40,21.27,1969-01-09,0.00,31.40,14.50
0317474 1,UPINGTON - WK,-28.40,21.27,1969-01-10,0.00,34.80,14.50
0317474 1,UPINGTON - WK,-28.40,21.27,1969-01-11,0.00,34.70,16.70
0317474 1,UPINGTON - WK,-28.40,21.27,1969-01-12,0.00,34.10,15.30
0317474 1,UPINGTON - WK,-28.40,21.27,1969-01-13,0.00,36.20,17.70
0317474 1,UPINGTON - WK,-28.40,21.27,1969-01-14,0.00,35.60,20.40
0317474 1,UPINGTON - WK,-28.40,21.27,1969-01-15,0.00,38.60,16.90
0317474 1,UPINGTON - WK,-28.40,21.27,1969-01-16,0.00,39.90,20.50
0317474 1,UPINGTON - WK,-28.40,21.27,1969-01-17,0.00,40.20,23.30
0317474 1,UPINGTON - WK,-28.40,21.27,1969-01-18,0.00,37.30,22.20
0317474 1,UPINGTON - WK,-28.40,21.27,1969-01-19,0.00,37.10,16.90
0317474 1,UPINGTON - WK,-28.40,21.27,1969-01-20,0.00,36.00,20.50
0317474 1,UPINGTON - WK,-28.40,21.27,1969-01-21,0.00,28.20,19.60
0317474 1,UPINGTON - WK,-28.40,21.27,1969-01-22,0.00,32.80,16.20
0317474 1,UPINGTON - WK,-28.40,21.27,1969-01-23,0.00,38.70,13.80
0317474 1,UPINGTON - WK,-28.40,21.27,1969-01-24,0.00,37.40,18.80
0317474 1,UPINGTON - WK,-28.40,21.27,1969-01-25,0.00,36.70,17.90
0317474 1,UPINGTON - WK,-28.40,21.27,1969-01-26,0.00,34.20,19.20
0317474 1,UPINGTON - WK,-28.40,21.27,1969-01-27,0.00,31.30,21.80
0317474 1,UPINGTON - WK,-28.40,21.27,1969-01-28,0.00,36.20,22.00
0317474 1,UPINGTON - WK,-28.40,21.27,1969-01-29,0.00,38.50,20.20
0317474 1,UPINGTON - WK,-28.40,21.27,1969-01-30,0.00,37.20,24.80
0317474 1,UPINGTON - WK,-28.40,21.27,1969-01-31,0.00,40.90,24.00
0317474 1,UPINGTON - WK,-28.40,21.27,1969-02-01,0.00,38.50,25.60
0317474 1,UPINGTON - WK,-28.40,21.27,1969-02-02,0.00,38.60,22.50
0317474 1,UPINGTON - WK,-28.40,21.27,1969-02-03,0.00,36.50,20.20
0317474 1,UPINGTON - WK,-28.40,21.27,1969-02-04,0.00,38.60,21.00
0317474 1,UPINGTON - WK,-28.40,21.27,1969-02-05,0.00,40.00,19.10
0317474 1,UPINGTON - WK,-28.40,21.27,1969-02-06,0.00,41.60,21.50
0317474 1,UPINGTON - WK,-28.40,21.27,1969-02-07,0.00,35.80,21.50
0317474 1,UPINGTON - WK,-28.40,21.27,1969-02-08,0.00,33.30,16.80
0317474 1,UPINGTON - WK,-28.40,21.27,1969-02-09,0.00,36.40,13.50
0317474 1,UPINGTON - WK,-28.40,21.27,1969-02-10,0.00,30.60,16.40
0317474 1,UPINGTON - WK,-28.40,21.27,1969-02-11,0.00,29.80,13.00
0317474 1,UPINGTON - WK,-28.40,21.27,1969-02-12,0.00,36.70,15.20
0317474 1,UPINGTON - WK,-28.40,21.27,1969-02-13,0.00,36.80,21.50
0317474 1,UPINGTON - WK,-28.40,21.27,1969-02-14,0.00,37.20,20.60
0317474 1,UPINGTON - WK,-28.40,21.27,1969-02-15,0.00,39.10,23.20
0317474 1,UPINGTON - WK,-28.40,21.27,1969-02-16,0.00,37.90,23.50
0317474 1,UPINGTON - WK,-28.40,21.27,1969-02-17,0.00,39.10,18.60
0317474 1,UPINGTON - WK,-28.40,21.27,1969-02-18,5.30,38.60,24.40
0317474 1,UPINGTON - WK,-28.40,21.27,1969-02-19,0.00,34.60,20.50
0317474 1,UPINGTON - WK,-28.40,21.27,1969-02-20,0.00,26.40,19.40
0317474 1,UPINGTON - WK,-28.40,21.27,1969-02-21,0.00,37.60,19.40
0317474 1,UPINGTON - WK,-28.40,21.27,1969-02-22,6.10,36.40,23.60
0317474 1,UPINGTON - WK,-28.40,21.27,1969-02-23,4.90,33.70,22.00
0317474 1,UPINGTON - WK,-28.40,21.27,1969-02-24,2.30,31.10,19.50
0317474 1,UPINGTON - WK,-28.40,21.27,1969-02-25,6.10,32.40,20.50
0317474 1,UPINGTON - WK,-28.40,21.27,1969-02-26,24.50,28.00,19.00
0317474 1,UPINGTON - WK,-28.40,21.27,1969-02-27,0.90,30.40,19.70
0317474 1,UPINGTON - WK,-28.40,21.27,1969-02-28,15.30,33.00,22.10
0317474 1,UPINGTON - WK,-28.40,21.27,1969-03-01,0.00,30.20,19.10
0317474 1,UPINGTON - WK,-28.40,21.27,1969-03-02,0.00,34.00,18.20
0317474 1,UPINGTON - WK,-28.40,21.27,1969-03-03,0.00,35.60,20.70
0317474 1,UPINGTON - WK,-28.40,21.27,1969-03-04,0.00,36.20,24.80
0317474 1,UPINGTON - WK,-28.40,21.27,1969-03-05,0.00,37.10,22.40
0317474 1,UPINGTON - WK,-28.40,21.27,1969-03-06,2.60,33.40,24.40
0317474 1,UPINGTON - WK,-28.40,21.27,1969-03-07,0.00,32.20,20.90
0317474 1,UPINGTON - WK,-28.40,21.27,1969-03-08,9.00,33.90,21.20
0317474 1,UPINGTON - WK,-28.40,21.27,1969-03-09,0.00,27.40,16.40
0317474 1,UPINGTON - WK,-28.40,21.27,1969-03-10,0.00,23.20,9.00
0317474 1,UPINGTON - WK,-28.40,21.27,1969-03-11,0.00,25.30,14.30
0317474 1,UPINGTON - WK,-28.40,21.27,1969-03-12,0.00,29.40,11.90
0317474 1,UPINGTON - WK,-28.40,21.27,1969-03-13,0.00,32.10,15.20
0317474 1,UPINGTON - WK,-28.40,21.27,1969-03-14,0.00,33.30,16.00
0317474 1,UPINGTON - WK,-28.40,21.27,1969-03-15,0.00,34.30,17.30
0317474 1,UPINGTON - WK,-28.40,21.27,1969-03-16,0.00,34.90,17.00
0317474 1,UPINGTON - WK,-28.40,21.27,1969-03-17,0.00,34.10,22.50
0317474 1,UPINGTON - WK,-28.40,21.27,1969-03-18,0.00,33.40,21.80
0317474 1,UPINGTON - WK,-28.40,21.27,1969-03-19,0.00,33.60,16.70
0317474 1,UPINGTON - WK,-28.40,21.27,1969-03-20,0.00,34.30,16.50
0317474 1,UPINGTON - WK,-28.40,21.27,1969-03-21,0.00,35.20,19.00
0317474 1,UPINGTON - WK,-28.40,21.27,1969-03-22,0.00,33.60,21.20
0317474 1,UPINGTON - WK,-28.40,21.27,1969-03-23,0.00,32.80,21.10
0317474 1,UPINGTON - WK,-28.40,21.27,1969-03-24,1.70,29.80,21.80
0317474 1,UPINGTON - WK,-28.40,21.27,1969-03-25,0.00,28.30,19.30
0317474 1,UPINGTON - WK,-28.40,21.27,1969-03-26,0.00,29.00,19.10
0317474 1,UPINGTON - WK,-28.40,21.27,1969-03-27,0.00,29.70,17.20
0317474 1,UPINGTON - WK,-28.40,21.27,1969-03-28,0.00,30.90,16.30
0317474 1,UPINGTON - WK,-28.40,21.27,1969-03-29,0.00,30.00,15.20
0317474 1,UPINGTON - WK,-28.40,21.27,1969-03-30,0.00,31.50,14.50
0317474 1,UPINGTON - WK,-28.40,21.27,1969-03-31,0.00,32.40,14.80
0317474 1,UPINGTON - WK,-28.40,21.27,1969-04-01,0.00,33.60,15.90
0317474 1,UPINGTON - WK,-28.40,21.27,1969-04-02,0.00,32.30,18.00
0317474 1,UPINGTON - WK,-28.40,21.27,1969-04-03,0.10,33.40,17.10
0317474 1,UPINGTON - WK,-28.40,21.27,1969-04-04,0.00,30.80,14.70
0317474 1,UPINGTON - WK,-28.40,21.27,1969-04-05,0.00,27.00,9.40
0317474 1,UPINGTON - WK,-28.40,21.27,1969-04-06,0.00,31.50,9.80
0317474 1,UPINGTON - WK,-28.40,21.27,1969-04-07,1.70,32.60,16.90
0317474 1,UPINGTON - WK,-28.40,21.27,1969-04-08,45.50,21.10,16.60
0317474 1,UPINGTON - WK,-28.40,21.27,1969-04-09,24.00,21.50,15.10
0317474 1,UPINGTON - WK,-28.40,21.27,1969-04-10,0.00,22.40,10.50
0317474 1,UPINGTON - WK,-28.40,21.27,1969-04-11,0.00,20.00,11.10
0317474 1,UPINGTON - WK,-28.40,21.27,1969-04-12,0.00,27.10,11.10
0317474 1,UPINGTON - WK,-28.40,21.27,1969-04-13,0.00,26.60,14.40
0317474 1,UPINGTON - WK,-28.40,21.27,1969-04-14,0.00,20.70,10.70
0317474 1,UPINGTON - WK,-28.40,21.27,1969-04-15,0.00,27.30,8.50
0317474 1,UPINGTON - WK,-28.40,21.27,1969-04-16,0.00,31.50,13.00
0317474 1,UPINGTON - WK,-28.40,21.27,1969-04-17,0.00,23.70,11.00
0317474 1,UPINGTON - WK,-28.40,21.27,1969-04-18,0.00,25.40,7.70
0317474 1,UPINGTON - WK,-28.40,21.27,1969-04-19,0.00,29.90,9.80
0317474 1,UPINGTON - WK,-28.40,21.27,1969-04-20,0.00,29.90,10.50
0317474 1,UPINGTON - WK,-28.40,21.27,1969-04-21,0.00,32.90,14.50
0317474 1,UPINGTON - WK,-28.40,21.27,1969-04-22,0.00,17.70,8.80
0317474 1,UPINGTON - WK,-28.40,21.27,1969-04-23,0.00,17.40,5.50
0317474 1,UPINGTON - WK,-28.40,21.27,1969-04-24,0.00,18.70,5.50
0317474 1,UPINGTON - WK,-28.40,21.27,1969-04-25,0.00,21.80,2.90
0317474 1,UPINGTON - WK,-28.40,21.27,1969-04-26,0.00,28.90,5.70
0317474 1,UPINGTON - WK,-28.40,21.27,1969-04-27,0.00,29.70,11.90
0317474 1,UPINGTON - WK,-28.40,21.27,1969-04-28,0.00,28.70,14.80
0317474 1,UPINGTON - WK,-28.40,21.27,1969-04-29,0.00,27.40,14.90
0317474 1,UPINGTON - WK,-28.40,21.27,1969-04-30,0.00,26.10,5.50
0317474 1,UPINGTON - WK,-28.40,21.27,1969-05-01,0.00,27.60,8.00
0317474 1,UPINGTON - WK,-28.40,21.27,1969-05-02,0.00,25.90,7.40
0317474 1,UPINGTON - WK,-28.40,21.27,1969-05-03,0.00,27.70,13.40
0317474 1,UPINGTON - WK,-28.40,21.27,1969-05-04,0.00,23.60,13.00
0317474 1,UPINGTON - WK,-28.40,21.27,1969-05-05,0.00,21.50,4.50
0317474 1,UPINGTON - WK,-28.40,21.27,1969-05-06,0.00,17.10,6.00
0317474 1,UPINGTON - WK,-28.40,21.27,1969-05-07,0.00,22.10,2.90
0317474 1,UPINGTON - WK,-28.40,21.27,1969-05-08,0.00,26.30,5.50
0317474 1,UPINGTON - WK,-28.40,21.27,1969-05-09,0.00,25.90,14.60
0317474 1,UPINGTON - WK,-28.40,21.27,1969-05-10,0.00,27.70,12.50
0317474 1,UPINGTON - WK,-28.40,21.27,1969-05-11,0.00,26.40,13.70
0317474 1,UPINGTON - WK,-28.40,21.27,1969-05-12,0.00,25.20,10.90
0317474 1,UPINGTON - WK,-28.40,21.27,1969-05-13,0.00,25.70,11.70
0317474 1,UPINGTON - WK,-28.40,21.27,1969-05-14,0.00,26.20,10.80
0317474 1,UPINGTON - WK,-28.40,21.27,1969-05-15,0.00,27.20,7.60
0317474 1,UPINGTON - WK,-28.40,21.27,1969-05-16,0.00,28.20,11.20
0317474 1,UPINGTON - WK,-28.40,21.27,1969-05-17,0.00,27.20,13.10
0317474 1,UPINGTON - WK,-28.40,21.27,1969-05-18,0.00,27.90,15.40
0317474 1,UPINGTON - WK,-28.40,21.27,1969-05-19,0.00,17.80,10.00
0317474 1,UPINGTON - WK,-28.40,21.27,1969-05-20,0.00,18.10,4.00
0317474 1,UPINGTON - WK,-28.40,21.27,1969-05-21,0.00,17.80,3.50
0317474 1,UPINGTON - WK,-28.40,21.27,1969-05-22,0.00,19.90,3.50
0317474 1,UPINGTON - WK,-28.40,21.27,1969-05-23,0.00,20.00,3.90
0317474 1,UPINGTON - WK,-28.40,21.27,1969-05-24,0.00,21.10,4.40
0317474 1,UPINGTON - WK,-28.40,21.27,1969-05-25,0.00,22.40,4.10
0317474 1,UPINGTON - WK,-28.40,21.27,1969-05-26,0.00,24.30,3.90
0317474 1,UPINGTON - WK,-28.40,21.27,1969-05-27,0.00,24.20,5.00
0317474 1,UPINGTON - WK,-28.40,21.27,1969-05-28,0.00,24.60,7.20
0317474 1,UPINGTON - WK,-28.40,21.27,1969-05-29,26.10,23.40,10.80
0317474 1,UPINGTON - WK,-28.40,21.27,1969-05-30,0.00,13.00,9.50
0317474 1,UPINGTON - WK,-28.40,21.27,1969-05-31,0.00,17.40,5.70
0317474 1,UPINGTON - WK,-28.40,21.27,1969-06-01,0.00,22.80,6.20
0317474 1,UPINGTON - WK,-28.40,21.27,1969-06-02,0.00,23.20,8.90
0317474 1,UPINGTON - WK,-28.40,21.27,1969-06-03,0.00,27.00,9.60
0317474 1,UPINGTON - WK,-28.40,21.27,1969-06-04,0.00,20.20,12.60
0317474 1,UPINGTON - WK,-28.40,21.27,1969-06-05,0.00,16.40,5.50
0317474 1,UPINGTON - WK,-28.40,21.27,1969-06-06,0.00,20.10,3.30
0317474 1,UPINGTON - WK,-28.40,21.27,1969-06-07,0.00,23.80,6.40
0317474 1,UPINGTON - WK,-28.40,21.27,1969-06-08,0.00,23.00,8.10
0317474 1,UPINGTON - WK,-28.40,21.27,1969-06-09,0.00,20.20,6.70
0317474 1,UPINGTON - WK,-28.40,21.27,1969-06-10,0.00,20.50,4.10
0317474 1,UPINGTON - WK,-28.40,21.27,1969-06-11,0.00,23.10,4.60
0317474 1,UPINGTON - WK,-28.40,21.27,1969-06-12,0.00,15.10,2.20
0317474 1,UPINGTON - WK,-28.40,21.27,1969-06-13,0.00,16.70,11.10
0317474 1,UPINGTON - WK,-28.40,21.27,1969-06-14,0.00,19.80,2.30
0317474 1,UPINGTON - WK,-28.40,21.27,1969-06-15,0.00,20.70,2.50
0317474 1,UPINGTON - WK,-28.40,21.27,1969-06-16,0.60,10.50,6.20
0317474 1,UPINGTON - WK,-28.40,21.27,1969-06-17,0.00,10.50,1.20
0317474 1,UPINGTON - WK,-28.40,21.27,1969-06-18,0.00,15.80,0.40
0317474 1,UPINGTON - WK,-28.40,21.27,1969-06-19,0.00,16.50,0.80
0317474 1,UPINGTON - WK,-28.40,21.27,1969-06-20,0.00,17.70,0.00
0317474 1,UPINGTON - WK,-28.40,21.27,1969-06-21,0.00,21.00,1.40
0317474 1,UPINGTON - WK,-28.40,21.27,1969-06-22,0.00,20.30,5.90
0317474 1,UPINGTON - WK,-28.40,21.27,1969-06-23,0.00,22.40,5.40
0317474 1,UPINGTON - WK,-28.40,21.27,1969-06-24,0.00,22.00,9.20
0317474 1,UPINGTON - WK,-28.40,21.27,1969-06-25,0.00,23.20,9.60
0317474 1,UPINGTON - WK,-28.40,21.27,1969-06-26,0.00,22.20,5.80
0317474 1,UPINGTON - WK,-28.40,21.27,1969-06-27,2.30,18.10,4.40
0317474 1,UPINGTON - WK,-28.40,21.27,1969-06-28,0.00,21.60,9.80
0317474 1,UPINGTON - WK,-28.40,21.27,1969-06-29,0.00,22.60,6.10
0317474 1,UPINGTON - WK,-28.40,21.27,1969-06-30,0.00,14.20,2.30
0317474 1,UPINGTON - WK,-28.40,21.27,1969-07-01,0.00,18.10,3.10
0317474 1,UPINGTON - WK,-28.40,21.27,1969-07-02,0.00,20.70,5.30
0317474 1,UPINGTON - WK,-28.40,21.27,1969-07-03,0.00,23.20,4.50
0317474 1,UPINGTON - WK,-28.40,21.27,1969-07-04,0.00,19.10,4.50
0317474 1,UPINGTON - WK,-28.40,21.27,1969-07-05,0.00,19.70,2.20
0317474 1,UPINGTON - WK,-28.40,21.27,1969-07-06,0.00,26.70,4.80
0317474 1,UPINGTON - WK,-28.40,21.27,1969-07-07,0.00,16.90,6.10
0317474 1,UPINGTON - WK,-28.40,21.27,1969-07-08,0.00,19.10,-1.90
0317474 1,UPINGTON - WK,-28.40,21.27,1969-07-09,0.00,24.30,0.20
0317474 1,UPINGTON - WK,-28.40,21.27,1969-07-10,0.00,24.40,4.40
0317474 1,UPINGTON - WK,-28.40,21.27,1969-07-11,0.00,24.40,10.60
0317474 1,UPINGTON - WK,-28.40,21.27,1969-07-12,0.00,24.60,9.60
0317474 1,UPINGTON - WK,-28.40,21.27,1969-07-13,0.00,23.60,12.80
0317474 1,UPINGTON - WK,-28.40,21.27,1969-07-14,0.00,21.20,10.70
0317474 1,UPINGTON - WK,-28.40,21.27,1969-07-15,0.00,21.40,3.60
0317474 1,UPINGTON - WK,-28.40,21.27,1969-07-16,0.00,22.60,4.00
0317474 1,UPINGTON - WK,-28.40,21.27,1969-07-17,0.00,20.20,3.20
0317474 1,UPINGTON - WK,-28.40,21.27,1969-07-18,0.50,13.50,3.60
0317474 1,UPINGTON - WK,-28.40,21.27,1969-07-19,0.00,12.40,-2.80
0317474 1,UPINGTON - WK,-28.40,21.27,1969-07-20,0.00,18.60,-1.60
0317474 1,UPINGTON - WK,-28.40,21.27,1969-07-21,0.00,20.60,2.80
0317474 1,UPINGTON - WK,-28.40,21.27,1969-07-22,0.00,21.10,4.00
0317474 1,UPINGTON - WK,-28.40,21.27,1969-07-23,0.00,22.00,4.50
0317474 1,UPINGTON - WK,-28.40,21.27,1969-07-24,0.00,21.80,1.50
0317474 1,UPINGTON - WK,-28.40,21.27,1969-07-25,0.00,23.00,2.60
0317474 1,UPINGTON - WK,-28.40,21.27,1969-07-26,0.00,23.40,3.70
0317474 1,UPINGTON - WK,-28.40,21.27,1969-07-27,0.00,23.40,3.00
0317474 1,UPINGTON - WK,-28.40,21.27,1969-07-28,0.00,23.70,4.50
0317474 1,UPINGTON - WK,-28.40,21.27,1969-07-29,0.00,24.50,3.00
0317474 1,UPINGTON - WK,-28.40,21.27,1969-07-30,0.00,24.20,8.90
0317474 1,UPINGTON - WK,-28.40,21.27,1969-07-31,0.00,21.30,3.10
0317474 1,UPINGTON - WK,-28.40,21.27,1969-08-01,0.00,24.90,3.40
0317474 1,UPINGTON - WK,-28.40,21.27,1969-08-02,0.00,18.40,1.00
0317474 1,UPINGTON - WK,-28.40,21.27,1969-08-03,0.00,22.80,0.60
0317474 1,UPINGTON - WK,-28.40,21.27,1969-08-04,0.00,17.60,0.60
0317474 1,UPINGTON - WK,-28.40,21.27,1969-08-05,0.00,20.40,-0.10
0317474 1,UPINGTON - WK,-28.40,21.27,1969-08-06,0.00,26.90,2.50
0317474 1,UPINGTON - WK,-28.40,21.27,1969-08-07,0.00,26.30,11.80
0317474 1,UPINGTON - WK,-28.40,21.27,1969-08-08,0.00,14.20,6.00
0317474 1,UPINGTON - WK,-28.40,21.27,1969-08-09,0.00,16.40,-1.20
0317474 1,UPINGTON - WK,-28.40,21.27,1969-08-10,0.00,20.00,1.90
0317474 1,UPINGTON - WK,-28.40,21.27,1969-08-11,0.00,24.90,5.20
0317474 1,UPINGTON - WK,-28.40,21.27,1969-08-12,0.00,25.10,11.90
0317474 1,UPINGTON - WK,-28.40,21.27,1969-08-13,0.00,25.10,15.00
0317474 1,UPINGTON - WK,-28.40,21.27,1969-08-14,0.00,27.50,15.00
0317474 1,UPINGTON - WK,-28.40,21.27,1969-08-15,0.00,26.40,11.40
0317474 1,UPINGTON - WK,-28.40,21.27,1969-08-16,0.00,26.50,12.50
0317474 1,UPINGTON - WK,-28.40,21.27,1969-08-17,0.00,26.10,12.40
0317474 1,UPINGTON - WK,-28.40,21.27,1969-08-18,0.00,20.30,10.70
0317474 1,UPINGTON - WK,-28.40,21.27,1969-08-19,0.00,22.30,4.50
0317474 1,UPINGTON - WK,-28.40,21.27,1969-08-20,0.00,16.70,3.20
0317474 1,UPINGTON - WK,-28.40,21.27,1969-08-21,0.00,18.00,4.80
0317474 1,UPINGTON - WK,-28.40,21.27,1969-08-22,0.00,25.30,2.10
0317474 1,UPINGTON - WK,-28.40,21.27,1969-08-23,0.00,25.40,4.50
0317474 1,UPINGTON - WK,-28.40,21.27,1969-08-24,0.00,29.20,4.70
0317474 1,UPINGTON - WK,-28.40,21.27,1969-08-25,0.00,29.70,6.00
0317474 1,UPINGTON - WK,-28.40,21.27,1969-08-26,0.00,30.30,9.30
0317474 1,UPINGTON - WK,-28.40,21.27,1969-08-27,0.00,28.00,15.50
0317474 1,UPINGTON - WK,-28.40,21.27,1969-08-28,0.00,26.60,6.30
0317474 1,UPINGTON - WK,-28.40,21.27,1969-08-29,0.00,32.40,7.10
0317474 1,UPINGTON - WK,-28.40,21.27,1969-08-30,0.00,20.20,6.40
0317474 1,UPINGTON - WK,-28.40,21.27,1969-08-31,0.00,14.10,7.70
0317474 1,UPINGTON - WK,-28.40,21.27,1969-09-01,0.00,16.90,-0.60
0317474 1,UPINGTON - WK,-28.40,21.27,1969-09-02,0.00,23.40,0.40
0317474 1,UPINGTON - WK,-28.40,21.27,1969-09-03,0.00,20.00,2.60
0317474 1,UPINGTON - WK,-28.40,21.27,1969-09-04,0.00,14.40,0.00
0317474 1,UPINGTON - WK,-28.40,21.27,1969-09-05,0.00,21.50,-1.90
0317474 1,UPINGTON - WK,-28.40,21.27,1969-09-06,0.00,30.70,3.90
0317474 1,UPINGTON - WK,-28.40,21.27,1969-09-07,0.00,18.20,6.60
0317474 1,UPINGTON - WK,-28.40,21.27,1969-09-08,0.00,28.90,3.90
0317474 1,UPINGTON - WK,-28.40,21.27,1969-09-09,0.00,21.90,3.90
0317474 1,UPINGTON - WK,-28.40,21.27,1969-09-10,0.00,21.60,7.10
0317474 1,UPINGTON - WK,-28.40,21.27,1969-09-11,0.00,21.50,10.00
0317474 1,UPINGTON - WK,-28.40,21.27,1969-09-12,0.00,19.90,2.30
0317474 1,UPINGTON - WK,-28.40,21.27,1969-09-13,0.00,22.40,4.90
0317474 1,UPINGTON - WK,-28.40,21.27,1969-09-14,0.00,25.90,3.10
0317474 1,UPINGTON - WK,-28.40,21.27,1969-09-15,0.00,29.10,6.70
0317474 1,UPINGTON - WK,-28.40,21.27,1969-09-16,0.00,30.00,9.90
0317474 1,UPINGTON - WK,-28.40,21.27,1969-09-17,0.00,31.00,11.70
0317474 1,UPINGTON - WK,-28.40,21.27,1969-09-18,0.00,32.90,13.70
0317474 1,UPINGTON - WK,-28.40,21.27,1969-09-19,0.00,33.30,15.40
0317474 1,UPINGTON - WK,-28.40,21.27,1969-09-20,0.00,29.60,12.60
0317474 1,UPINGTON - WK,-28.40,21.27,1969-09-21,0.00,30.50,7.80
0317474 1,UPINGTON - WK,-28.40,21.27,1969-09-22,0.00,35.00,12.60
0317474 1,UPINGTON - WK,-28.40,21.27,1969-09-23,0.00,33.30,17.80
0317474 1,UPINGTON - WK,-28.40,21.27,1969-09-24,0.00,23.00,12.40
0317474 1,UPINGTON - WK,-28.40,21.27,1969-09-25,0.00,20.90,5.50
0317474 1,UPINGTON - WK,-28.40,21.27,1969-09-26,0.00,24.70,4.40
0317474 1,UPINGTON - WK,-28.40,21.27,1969-09-27,0.00,27.40,8.50
0317474 1,UPINGTON - WK,-28.40,21.27,1969-09-28,0.00,26.20,3.90
0317474 1,UPINGTON - WK,-28.40,21.27,1969-09-29,0.00,27.90,5.80
0317474 1,UPINGTON - WK,-28.40,21.27,1969-09-30,0.00,28.70,7.10
0317474 1,UPINGTON - WK,-28.40,21.27,1969-10-01,0.00,29.90,8.80
0317474 1,UPINGTON - WK,-28.40,21.27,1969-10-02,0.00,30.70,8.90
0317474 1,UPINGTON - WK,-28.40,21.27,1969-10-03,0.00,29.10,8.50
0317474 1,UPINGTON - WK,-28.40,21.27,1969-10-04,0.00,33.00,9.30
0317474 1,UPINGTON - WK,-28.40,21.27,1969-10-05,0.00,32.20,18.40
0317474 1,UPINGTON - WK,-28.40,21.27,1969-10-06,2.10,32.50,20.00
0317474 1,UPINGTON - WK,-28.40,21.27,1969-10-07,0.00,33.70,17.20
0317474 1,UPINGTON - WK,-28.40,21.27,1969-10-08,0.00,29.80,16.40
0317474 1,UPINGTON - WK,-28.40,21.27,1969-10-09,0.00,18.40,6.80
0317474 1,UPINGTON - WK,-28.40,21.27,1969-10-10,0.00,23.80,7.20
0317474 1,UPINGTON - WK,-28.40,21.27,1969-10-11,0.00,26.60,9.80
0317474 1,UPINGTON - WK,-28.40,21.27,1969-10-12,0.00,30.20,10.50
0317474 1,UPINGTON - WK,-28.40,21.27,1969-10-13,0.00,31.90,13.60
0317474 1,UPINGTON - WK,-28.40,21.27,1969-10-14,0.00,36.70,11.10
0317474 1,UPINGTON - WK,-28.40,21.27,1969-10-15,0.00,32.50,16.50
0317474 1,UPINGTON - WK,-28.40,21.27,1969-10-16,0.00,24.00,24.00
0317474 1,UPINGTON - WK,-28.40,21.27,1969-10-17,0.00,18.30,6.20
0317474 1,UPINGTON - WK,-28.40,21.27,1969-10-18,0.00,20.70,9.70
0317474 1,UPINGTON - WK,-28.40,21.27,1969-10-19,0.00,22.40,7.80
0317474 1,UPINGTON - WK,-28.40,21.27,1969-10-20,0.00,32.20,7.30
0317474 1,UPINGTON - WK,-28.40,21.27,1969-10-21,0.00,30.30,18.30
0317474 1,UPINGTON - WK,-28.40,21.27,1969-10-22,0.00,29.90,13.70
0317474 1,UPINGTON - WK,-28.40,21.27,1969-10-23,0.00,31.10,14.30
0317474 1,UPINGTON - WK,-28.40,21.27,1969-10-24,0.00,29.10,10.50
0317474 1,UPINGTON - WK,-28.40,21.27,1969-10-25,0.00,29.80,13.40
0317474 1,UPINGTON - WK,-28.40,21.27,1969-10-26,0.30,35.10,13.10
0317474 1,UPINGTON - WK,-28.40,21.27,1969-10-27,0.00,32.40,14.30
0317474 1,UPINGTON - WK,-28.40,21.27,1969-10-28,0.00,27.80,11.60
0317474 1,UPINGTON - WK,-28.40,21.27,1969-10-29,0.00,20.90,9.20
0317474 1,UPINGTON - WK,-28.40,21.27,1969-10-30,0.00,25.00,6.60
0317474 1,UPINGTON - WK,-28.40,21.27,1969-10-31,0.00,29.90,9.20
0317474 1,UPINGTON - WK,-28.40,21.27,1969-11-01,0.00,31.90,13.10
0317474 1,UPINGTON - WK,-28.40,21.27,1969-11-02,0.00,34.60,12.80
0317474 1,UPINGTON - WK,-28.40,21.27,1969-11-03,0.00,35.80,14.50
0317474 1,UPINGTON - WK,-28.40,21.27,1969-11-04,0.00,32.20,11.10
0317474 1,UPINGTON - WK,-28.40,21.27,1969-11-05,0.00,37.90,12.60
0317474 1,UPINGTON - WK,-28.40,21.27,1969-11-06,1.30,34.80,23.50
0317474 1,UPINGTON - WK,-28.40,21.27,1969-11-07,0.80,33.80,17.10
0317474 1,UPINGTON - WK,-28.40,21.27,1969-11-08,0.00,31.70,17.50
0317474 1,UPINGTON - WK,-28.40,21.27,1969-11-09,0.00,28.60,11.80
0317474 1,UPINGTON - WK,-28.40,21.27,1969-11-10,0.00,29.00,12.40
0317474 1,UPINGTON - WK,-28.40,21.27,1969-11-11,0.00,29.00,10.60
0317474 1,UPINGTON - WK,-28.40,21.27,1969-11-12,0.00,28.90,12.60
0317474 1,UPINGTON - WK,-28.40,21.27,1969-11-13,0.00,34.50,12.10
